thomas_num,thomas_name,icpsr,congress,year,st_name,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,upperyrs,loweryrs,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag,com_aerospace,com_agr,com_approp,com_armedserv,com_bank,com_budget,com_comm,com_DC,com_energy,com_finance,com_fr,com_gov,com_interior,com_jud,com_labor,com_post,com_publ,com_rules,com_vet,selcom_nut,selcom_pca,selcom_smallbus,selcom_standards,speccom_aging,speccom_questions,speccom_emer,selcom_intel,selcom_natlemergency,selcom_irannicaragua,selcom_ethics,selcom_indian,com_jointecon,com_jointlibrary,com_jointprinting,com_jointorgcongress
2,SPARKMAN J,8764,93,1972,ALABAMA,1,1,1946,0,0,0,62,3844,-0.123,,,,1,1,,,5.5,30.25,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ALLEN J,12100,93,1972,ALABAMA,1,1,1968,0,0,0,70,4900,0.067,,,,0,1,,,1,1,1,,4,4,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,GRAVEL M,12105,93,1972,ALASKA,1,1,1968,0,0,0,45,2025,-0.288,,,,0,1,,,1,1,1,,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,STEVENS T,12109,93,1972,ALASKA,0,0,1968,0,0,0,77,5929,0.153,,,,0,0,,,1.5,2.25,1,,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,FANNIN P,10804,93,1972,ARIZONA,0,0,1964,0,0,0,56,3136,0.645,,,,0,0,,,2,4,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,GOLDWATER B,3658,93,1972,ARIZONA,0,0,1968,0,0,0,57,3249,0.566,,,,0,0,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MCCLELLAN J,6151,93,1972,ARKANSA,1,1,1942,0,0,0,61,3721,0.027,,,,1,1,,,6,36,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,FULBRIGHT J,3388,93,1972,ARKANSA,1,1,1944,0,0,0,59,3481,-0.708,,,,0,1,,,5,25,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,TUNNEY J,10777,93,1972,CALIFOR,1,1,1970,0,0,0,54,2916,-0.293,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CRANSTON A,12103,93,1972,CALIFOR,1,1,1968,0,0,0,52,2704,-0.368,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HASKELL F,14104,93,1972,COLORAD,1,1,1972,0,0,0,49,2401,-0.421,,,,0,0,,,1,1,1,,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DOMINICK P,10514,93,1972,COLORAD,0,0,1962,0,0,0,59,3481,0.335,,,,0,0,,,2,4,1,,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,WEICKER L,12032,93,1972,CONNECT,0,0,1970,0,0,0,42,1764,0.121,,,,0,0,,,1,1,1,,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,RIBICOFF A,7847,93,1972,CONNECT,1,1,1962,0,0,0,54,2916,-0.338,,,,0,1,,,2,4,1,,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BIDEN J,14101,93,1972,DELAWAR,1,1,1972,0,0,0,51,2601,-0.402,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,ROTH W,11044,93,1972,DELAWAR,0,0,1970,0,0,0,59,3481,0.298,,,,0,0,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GURNEY E,10593,93,1972,FLORIDA,0,0,1968,0,0,0,56,3136,0.315,,,,0,0,,,1,1,0,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CHILES L,13101,93,1972,FLORIDA,1,1,1970,0,0,0,54,2916,-0.208,,,,0,0,,,1,1,1,,4,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,TALMADGE H,9174,93,1972,GEORGIA,1,1,1956,0,0,0,78,6084,-0.093,,,,1,1,,,3,9,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NUNN S,14108,93,1972,GEORGIA,1,1,1942,0,0,0,54,2916,-0.088,,,,0,0,,,6,36,1,,0,4,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,FONG H,3255,93,1972,HAWAII,0,0,1959,0,0,0,52,2704,0.193,,,,0,0,,,2.5,6.25,1,,0,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,INOUYE D,4812,93,1972,HAWAII,1,1,1962,0,0,0,83,6889,-0.318,,,,0,1,,,2,4,1,,1,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,MCCLURE J,11029,93,1972,IDAHO,0,0,1972,0,0,0,52,2704,0.476,,,,0,0,,,1,1,1,,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CHURCH F,1721,93,1972,IDAHO,1,1,1956,0,0,0,60,3600,-0.368,,,,0,1,,,3,9,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26,STEVENSON A,13102,93,1972,ILLINOI,1,1,1970,0,0,0,58,3364,-0.333,,,,0,1,,,0.5,0.25,1,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,PERCY C,11205,93,1972,ILLINOI,0,0,1966,0,0,0,62,3844,0.059,,,,0,0,,,2,4,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BAYH B,10800,93,1972,INDIANA,1,1,1962,0,0,0,52,2704,-0.403,,,,0,1,,,2,4,1,,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,HARTKE V,4154,93,1972,INDIANA,1,1,1958,0,0,0,50,2500,-0.437,,,,1,1,,,3,9,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,HUGHES H,12106,93,1972,IOWA,1,1,1968,0,0,0,50,2500,-0.56,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CLARK D,14102,93,1972,IOWA,1,1,1972,0,0,0,55,3025,-0.538,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,PEARSON J,10817,93,1972,KANSAS,0,0,1962,0,0,0,71,5041,0.062,,,,0,0,,,2.5,6.25,1,,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,DOLE R,10513,93,1972,KANSAS,0,0,1968,0,0,0,60,3600,0.265,,,,0,0,,,1,1,1,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,HUDDLESTON,14106,93,1972,KENTUCK,1,1,1972,0,0,0,51,2601,-0.294,,,,0,1,,,1,1,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,COOK M,12102,93,1972,KENTUCK,0,0,1968,0,0,0,51,2601,0.137,,,,0,0,,,1,1,1,,0,4,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,LONG R,5767,93,1972,LOUISIA,1,1,1948,0,0,0,87,7569,-0.126,,,,1,1,,,4.5,20.25,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,JOHNSTON J,14107,93,1972,LOUISIA,1,1,1972,0,0,0,55,3025,-0.113,,,,0,1,,,1,1,1,,4,4,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,MUSKIE E,6831,93,1972,MAINE,1,1,1958,0,0,0,62,3844,-0.389,,,,0,1,,,3,9,1,,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,HATHAWAY W,10736,93,1972,MAINE,1,1,1972,0,0,0,53,2809,-0.46,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,BEALL G,12002,93,1972,MARYLAN,0,0,1970,0,0,0,51,2601,0.171,,,,0,0,,,1,1,1,,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,MATHIAS C,10535,93,1972,MARYLAN,0,0,1968,0,0,0,48,2304,-0.083,,,,0,0,,,1,1,1,,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,KENNEDY E,10808,93,1972,MASSACH,1,1,1962,0,0,0,63,3969,-0.457,,,,0,1,,,2.5,6.25,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BROOKE E,11201,93,1972,MASSACH,0,0,1966,0,1,0,35,1225,-0.173,,,,0,0,,,2,4,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,GRIFFIN R,3824,93,1972,MICHIGA,0,0,1966,0,0,0,52,2704,0.328,,,,0,0,,,2,4,0,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,HART P,4148,93,1972,MICHIGA,1,1,1958,0,0,0,67,4489,-0.461,,,,0,1,,,3,9,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,MONDALE,10813,93,1972,MINNESO,1,1,1966,0,0,0,57,3249,-0.419,,,,0,1,,,2.5,6.25,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,HUMPHREY H,4728,93,1972,MINNESO,1,1,1970,0,0,0,58,3364,-0.347,,,,0,1,,,1,1,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,STENNIS J,8883,93,1972,MISSISS,1,1,1947,0,0,0,88,7744,-0.05,,,,1,1,,,4.5,20.25,1,,0,4,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,EASTLAND J,2822,93,1972,MISSISS,1,1,1942,0,0,0,58,3364,0.064,,,,1,1,,,6,36,1,,0,4,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,EAGLETON T,12104,93,1972,MISSOUR,1,1,1968,0,0,0,51,2601,-0.364,,,,1,1,,,1,1,0,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
