committee,code,rank
AGRICULTURE,102,19
APPROPRIATIONS,104,2
ARMED SERVICES,106,7
FINANCIAL SERVICES,113,8
BUDGET,115,17
EDUCATION AND LABOR,124,15
NATURAL RESOURCES,164,13
FOREIGN AFFAIRS,134,11
ENERGY AND COMMERCE,128,3
OVERSIGHT AND GOVERNMENT REFORM,138,10
HOUSE ADMINISTRATION,142,18
JUDICIARY,156,4
TRANSPORTATION AND INFRASTRUCTURE,173,6
RULES,176,5
SCIENCE AND TECHNOLOGY,182,14
SMALL BUSINESS,184,20
VETERANS' AFFAIRS,192,16
WAYS AND MEANS,196,1
STANDARDS OF OFFICIAL CONDUCT,186,21
HOMELAND SECURITY,251,9
INTELLIGENCE,242,12
