mc,icpsrLegis,freshman_year,congress
SPARKMAN (D AL),8764,1946,79
ALLEN (D AL),12100,1969,91
GRAVEL (D AK),12105,1969,91
STEVENS (R AK),12109,1968,90
GOLDWATER (R AZ) 1st time in senate,103658,1953,83
GOLDWATER (R AZ) 2nd time in senate,203658,1969,91
FANNIN (R AZ),10804,1965,89
MCCLELLAN (D AR),6151,1943,78
FULBRIGHT (D AR),3388,1945,79
TUNNEY (D CA),10777,1971,92
CRANSTON (D CA),12103,1969,91
HASKELL (D CO),14104,1973,93
DOMINICK (R CO),10514,1963,88
WEICKER (R CT),12032,1971,92
RIBICOFF (D CT),7847,1963,88
BIDEN (D DE),14101,1973,93
ROTH (R DE),11044,1971,92
GURNEY (R FL),10593,1969,91
CHILES (D FL),13101,1971,92
TALMADGE (D GA),9174,1957,85
NUNN (D GA),14108,1973,93
FONG (R HI),3255,1959,86
INOUYE (D HI),4812,1963,88
MCCLURE (R ID),11029,1973,93
CHURCH (D ID),1721,1957,85
STEVENSON (D IL),13102,1970,91
PERCY (R IL),11205,1967,90
BAYH (D IN),10800,1963,88
HARTKE (D IN),4154,1959,86
HUGHES (D IA),12106,1969,91
CLARK (D IA),14102,1973,93
PEARSON (R KS),10817,1962,87
DOLE (R KS),10513,1969,91
HUDDLESTON (D KY),14106,1973,93
COOK (R KY),12102,1968,90
LONG (D LA),5767,1948,80
JOHNSTON (D LA),14107,1972,92
MUSKIE (D ME),6831,1959,86
HATHAWAY (D ME),10736,1973,93
BEALL (R MD),12002,1971,92
MATHIAS (R MD),10535,1969,91
KENNEDY (D MA),10808,1962,87
BROOKE (R MA),11201,1967,90
GRIFFIN (R MI),3824,1966,89
HART (D MI),4148,1959,86
MONDALE (D MN),10813,1964,88
HUMPHREY (D MN) 1st time in senate,104728,1949,81
HUMPHREY (D MN) 2nd time in senate,204728,1971,92
STENNIS (D MS),8883,1947,80
EASTLAND (D MS) 1st time in senate,102822,1941,77
EASTLAND (D MS) 2nd time in senate,202822,1943,77
EAGLETON (D MO),12104,1969,91
SYMINGTON (D MO),9141,1953,83
METCALF (D MT),6442,1961,87
MANSFIELD (D MT),5967,1953,83
HRUSKA (R NE),4660,1954,83
CURTIS (R NE),2267,1955,84
CANNON (D NV),1482,1959,86
BIBLE (D NV),688,1954,83
LAXALT (R NV),14077,1975,93
COTTON (R NH) 1st time in senate,102087,1954,83
COTTON (R NH) 2nd time in senate,202087,1975,94
MCINTYRE (D NH),10810,1962,87
CASE (R NJ),1569,1955,84
WILLIAMS (D NJ),10147,1959,86
DOMENICI (R NM),14103,1973,93
MONTOYA (D NM),6611,1964,88
JAVITS (R NY),4898,1957,85
BUCKLEY (Conservative NY),13100,1971,92
ERVIN (D NC),2987,1954,83
HELMS (R NC),14105,1973,93
BURDICK (D ND),1252,1961,87
YOUNG (R ND),10450,1945,79
TAFT (R OH),10630,1971,92
SAXBE (R OH),12108,1969,91
METZENBAUM (D OH) 1st time in senate,114073,1974,93
METZENBAUM (D OH) 2nd time in senate,214073,1976,95
BARTLETT (R OK),14100,1959,86
BELLMON (R OK),12101,1969,91
PACKWOOD (R OR),12107,1969,91
HATFIELD (R OR),11203,1967,90
SCOTT (R PA),8301,1959,86
SCHWEIKER (R PA),10557,1969,91
PELL (D RI),10818,1961,87
PASTORE (D RI),7229,1950,81
THURMOND (R SC),9369,1954,83
HOLLINGS (D SC),11204,1966,89
ABOUREZK (D SD),13000,1973,93
MCGOVERN (D SD),6256,1963,88
BAKER (R TN),11200,1967,90
BROCK (R TN),10571,1971,92
TOWER (R TX),10823,1961,87
BENTSEN (D TX),660,1971,92
MOSS (D UT),6754,1959,86
BENNETT (R UT),645,1951,82
STAFFORD (R VT),10562,1971,92
AIKEN (R VT),52,1941,77
SCOTT (R VA),11048,1973,93
BYRD (Indep VA),10802,1965,89
MAGNUSON (D WA),5913,1944,78
JACKSON (D WA),4851,1953,83
BYRD (D WV),1366,1959,86
RANDOLPH (D WV),7722,1958,85
PROXMIRE (D WI),7638,1957,85
NELSON (D WI),10816,1963,88
MCGEE (D WY),6249,1959,86
HANSEN (R WY),11202,1967,90
BUMPERS (D AR),14300,1975,94
HART (D CO),14305,1975,94
STONE (D FL),14309,1975,94
CULVER (D IA),10715,1975,94
FORD (D KY),14302,1974,93
DURKIN (D NH),14310,1975,94
MORGAN (D NC),14308,1975,94
GLENN (D OH),14304,1974,93
GARN (R UT),14303,1974,93
LEAHY (D VT),14307,1975,94
ALLEN (D AL) 14517,14517,1978,95
DECONCINI (D AZ),14502,1977,95
HODGES (D AR),14514,1977,95
HAYAKAWA (R CA),14504,1977,95
MATSUNAGA (D HI),10605,1977,95
LUGAR (R IN),14506,1977,95
SARBANES (D MD),13039,1977,95
RIEGLE (D MI),11043,1977,95
HUMPHREY (D MN) 14516,14516,1978,95
ANDERSON (D MN),14513,1976,94
DANFORTH (R MO),14501,1977,95
MELCHER (D MT),12039,1977,95
HATFIELD (D MT),14515,1978,95
ZORINSKY (D NE),14512,1976,94
SCHMITT (R NM),14510,1977,95
MOYNIHAN (D NY),14508,1977,95
HEINZ (R PA),13050,1977,95
CHAFEE (R RI),14500,1976,94
SASSER (D TN),14509,1977,95
HATCH (R UT),14503,1977,95
WALLOP (R WY),14511,1977,95
HEFLIN (D AL),14705,1979,96
STEWART (D AL),14711,1978,95
PRYOR (D AR),10791,1979,96
ARMSTRONG (R CO),14002,1979,96
JEPSEN (R IA),14707,1979,96
KASSEBAUM (R KS),14708,1979,96
COHEN (R ME),14010,1979,96
MITCHELL (D ME),14713,1980,96
TSONGAS (D MA),14279,1979,96
LEVIN (D MI),14709,1979,96
DURENBERGER (R MN),14703,1978,95
BOSCHWITZ (R MN),14701,1979,96
COCHRAN (R MS),14009,1978,95
BAUCUS (D MT),14203,1978,95
EXON (D NE),14704,1979,96
HUMPHREY (R NH),14706,1979,96
BRADLEY (D NJ),14702,1979,96
BOREN (D OK),14700,1979,96
PRESSLER (R SD),14268,1979,96
WARNER (R VA),14712,1979,96
SIMPSON (R WY),14710,1979,96
DENTON (R AL),14901,1981,97
MURKOWSKI (R AK),14907,1981,97
DODD (D CT),14213,1981,97
HAWKINS (R FL),14905,1981,97
MATTINGLY (R GA),14906,1981,97
SYMMS (R ID),14056,1981,97
DIXON (D IL),14902,1981,97
QUAYLE (R IN),14447,1981,97
GRASSLEY (R IA),14226,1981,97
RUDMAN (R NH),14909,1981,97
BRADY (R NJ),14911,1982,97
EAST (R NC),14903,1981,97
ANDREWS (R ND),10569,1981,97
NICKLES (R OK),14908,1981,97
SPECTER (R PA),14910,1981,97
ABDNOR (R SD),14000,1981,97
GORTON (R WA) 1st time in senate,114904,1981,97
GORTON (R WA) 2nd time in senate,214904,1989,101
KASTEN (R WI),14242,1981,97
WILSON (R CA),14915,1983,98
HECHT (R NV),14913,1983,98
LAUTENBERG (D NJ) 1st time in senate,114914,1982,97
LAUTENBERG (D NJ) 2nd time in senate,214914,2003,108
BINGAMAN (D NM),14912,1983,98
TRIBLE (R VA),14456,1983,98
EVANS (R WA),14916,1983,98
SIMON (D IL),14275,1985,99
HARKIN (D IA),14230,1985,99
MCCONNELL (R KY),14921,1985,99
KERRY (D MA),14920,1985,99
BROYHILL (R NC),10574,1986,99
GORE (D TN),14423,1985,99
GRAMM (R TX),14628,1985,99
ROCKEFELLER (D WV),14922,1985,99
SHELBY (D AL),14659,1987,100
MCCAIN (R AZ),15039,1987,100
WIRTH (D CO),14282,1987,100
