stabb,election_year,pres_dem_votes,pres_rep_votes
AL,2012,795696,1255925
AK,2012,122640,164676
AZ,2012,1025232,1233654
AR,2012,394409,647744
CA,2012,7854285,4839958
CO,2012,1323102,1185243
CT,2012,905083,634892
DE,2012,242584,165484
FL,2012,4237756,4163447
GA,2012,1773827,2078688
HI,2012,306658,121015
ID,2012,212787,420911
IL,2012,3019512,2135216
IN,2012,1152887,1420543
IA,2012,822544,730617
KS,2012,440726,692634
KY,2012,679370,1087190
LA,2012,809141,1152262
ME,2012,401306,292276
MD,2012,1677844,971869
MA,2012,1921290,1188314
MI,2012,2564569,2115256
MN,2012,1546167,1320225
MS,2012,562949,710746
MO,2012,1223796,1482440
MT,2012,201839,267928
NE,2012,302081,475064
NV,2012,531373,463567
NH,2012,369561,329918
NJ,2012,2125101,1477568
NM,2012,415335,335788
NY,2012,4485741,2490431
NC,2012,2178391,2270395
ND,2012,124827,188163
OH,2012,2827709,2661437
OK,2012,443547,891325
OR,2012,970488,754175
PA,2012,2990274,2680434
RI,2012,279677,157204
SC,2012,865941,1071645
SD,2012,145039,210610
TN,2012,960709,1462330
TX,2012,3308124,4569843
UT,2012,251813,740600
VT,2012,199239,92698
VA,2012,1971820,1822522
WA,2012,1755396,1290670
WV,2012,238269,417655
WI,2012,1620985,1407966
WY,2012,69286,170962
AL,2008,813479,1266546
AK,2008,123594,193841
AZ,2008,1034707,1230111
AR,2008,422310,638017
CA,2008,8274473,5011781
CO,2008,1288633,1073629
CT,2008,997772,629428
DE,2008,255459,152374
FL,2008,4282074,4045624
GA,2008,1844123,2048759
HI,2008,325871,120566
ID,2008,236440,403012
IL,2008,3419348,2031179
IN,2008,1374039,1345648
IA,2008,828940,682379
KS,2008,514765,699655
KY,2008,751985,1048462
LA,2008,782989,1148275
ME,2008,421923,295273
MD,2008,1629467,959862
MA,2008,1904097,1108854
MI,2008,2872579,2048639
MN,2008,1573354,1275409
MS,2008,554662,724597
MO,2008,1441911,1445814
MT,2008,231667,242763
NE,2008,333319,452979
NV,2008,533736,412827
NH,2008,384826,316534
NJ,2008,2215422,1613207
NM,2008,472422,346832
NY,2008,4645332,2418323
NC,2008,2142651,2128474
ND,2008,141278,168601
OH,2008,2940044,2677820
OK,2008,502496,960165
OR,2008,1037291,738475
PA,2008,3276363,2655885
RI,2008,296571,165391
SC,2008,862449,1034896
SD,2008,170924,203054
TN,2008,1087437,1479178
TX,2008,3528633,4479328
UT,2008,327670,596030
VT,2008,219262,98974
VA,2008,1959532,1725005
WA,2008,1750848,1229216
WV,2008,303857,397466
WI,2008,1677211,1262393
WY,2008,82868,164958
AL,2004,693933,1176394
AK,2004,111025,190889
AZ,2004,893524,1104294
AR,2004,469953,572898
CA,2004,6745485,5509826
CO,2004,1001732,1101255
CT,2004,857488,693826
DE,2004,200152,171660
FL,2004,3583544,3964522
GA,2004,1366149,1914254
HI,2004,231708,194191
ID,2004,181098,409235
IL,2004,2891550,2345946
IN,2004,969011,1479438
IA,2004,741898,751957
KS,2004,434993,736456
KY,2004,712733,1069439
LA,2004,820299,1102169
ME,2004,396842,330201
MD,2004,1334493,1024703
MA,2004,1803800,1071109
MI,2004,2479183,2313746
MN,2004,1445014,1346695
MS,2004,458094,684981
MO,2004,1259171,1455713
MT,2004,173710,266063
NE,2004,254328,512814
NV,2004,397190,418690
NH,2004,340511,331237
NJ,2004,1911430,1670003
NM,2004,370942,376930
NY,2004,4314280,2962567
NC,2004,1525849,1961166
ND,2004,111052,196651
OH,2004,2741167,2859768
OK,2004,503966,959792
OR,2004,943163,866831
PA,2004,2938095,2793847
RI,2004,259765,169046
SC,2004,661699,937974
SD,2004,149244,232584
TN,2004,1036477,1384375
TX,2004,2832704,4526917
UT,2004,241199,663742
VT,2004,184067,121180
VA,2004,1454742,1716959
WA,2004,1510201,1304894
WV,2004,326541,423778
WI,2004,1489504,1478120
WY,2004,70776,167629
AL,2000,692611,941173
AK,2000,79004,167398
AZ,2000,685341,781652
AR,2000,422768,472940
CA,2000,5861203,4567429
CO,2000,738227,883748
CT,2000,816015,561094
DE,2000,180068,137288
FL,2000,2912253,2912790
GA,2000,1116230,1419720
HI,2000,205286,137845
ID,2000,138637,336937
IL,2000,2589026,2019421
IN,2000,901980,1245836
IA,2000,638517,634373
KS,2000,399276,622332
KY,2000,638898,872492
LA,2000,792344,927871
ME,2000,319951,286616
MD,2000,1145782,813797
MA,2000,1616487,878502
MI,2000,2170418,1953139
MN,2000,1168266,1109659
MS,2000,404614,572844
MO,2000,1111138,1189924
MT,2000,137126,240178
NE,2000,231780,433862
NV,2000,279978,301575
NH,2000,266348,273559
NJ,2000,1788850,1284173
NM,2000,286783,286417
NY,2000,4107697,2403374
NC,2000,1257692,1631163
ND,2000,95284,174852
OH,2000,2186190,2351209
OK,2000,474276,744337
OR,2000,720342,713577
PA,2000,2485967,2281127
RI,2000,249508,130555
SC,2000,565561,785937
SD,2000,118804,190700
TN,2000,981720,1061949
TX,2000,2433746,3799639
UT,2000,203053,515096
VT,2000,149022,119775
VA,2000,1217290,1437490
WA,2000,1247652,1108864
WV,2000,295497,336475
WI,2000,1242987,1237279
WY,2000,60481,147947
AL,1996,662165,769044
AK,1996,80380,122746
AZ,1996,653288,622073
AR,1996,475171,325416
CA,1996,5119835,3828380
CO,1996,671152,691848
CT,1996,735740,483109
DE,1996,140355,99062
FL,1996,2546870,2244536
GA,1996,1053849,1080843
HI,1996,205012,113943
ID,1996,165443,256595
IL,1996,2341744,1587021
IN,1996,887424,1006693
IA,1996,620258,492644
KS,1996,387659,583245
KY,1996,636614,623283
LA,1996,927837,712586
ME,1996,312788,186378
