icpsrLegis,name,freshmanYear,sen
9369,THURMOND (R SC),1954,1
1366,BYRD (D WV),1959,2
10808,KENNEDY (D MA),1962,3
4812,INOUYE (D HI),1963,4
11204,HOLLINGS (D SC),1966,5
12109,STEVENS (R AK),1968,6
11044,ROTH (R DE),1971,7
14101,BIDEN (D DE),1973,10
14103,DOMENICI (R NM),1973,9
14105,HELMS (R NC),1973,8
14302,FORD (D KY),1974,12
14304,GLENN (D OH),1974,11
14300,BUMPERS (D AR),1975,13
14307,LEAHY (D VT),1975,14
14500,CHAFEE (R RI),1976,15
13039,SARBANES (D MD),1977,16
14503,HATCH (R UT),1977,19
14506,LUGAR (R IN),1977,18
14508,MOYNIHAN (D NY),1977,17
14009,COCHRAN (R MS),1978,21
14203,BAUCUS (D MT),1978,20
14709,LEVIN (D MI),1979,23
14712,WARNER (R VA),1979,22
14213,DODD (D CT),1981,24
14226,GRASSLEY (R IA),1981,25
14900,D'AMATO (R NY),1981,26
14904,GORTON (R WA),1981,46
14907,MURKOWSKI (R AK),1981,29
14908,NICKLES (R OK),1981,28
14910,SPECTER (R PA),1981,27
14914,LAUTENBERG (D NJ),1982,30
14912,BINGAMAN (D NM),1983,31
14230,HARKIN (D IA),1985,33
14628,GRAMM (R TX),1985,34
14920,KERRY (D MA),1985,32
14921,MCCONNELL (R KY),1985,35
14922,ROCKEFELLER (D WV),1985,36
13056,BREAUX (D LA),1987,37
14440,MIKULSKI (D MD),1987,38
14617,DASCHLE (D SD),1987,40
15039,MCCAIN (R AZ),1987,41
15054,REID (D NV),1987,42
15501,BOND (R MO),1987,44
15502,CONRAD (D ND),1987,45
15503,GRAHAM (D FL),1987,43
94659,SHELBY (R AL),1987,39
14031,LOTT (R MS),1989,47
14240,JEFFORDS (R VT),1989,48
14806,COATS (R IN),1989,49
15037,MACK (R FL),1989,50
15700,BRYAN (D NV),1989,52
15701,BURNS (R MT),1989,56
15702,KERREY (D NE),1989,53
15703,KOHL (D WI),1989,54
15704,LIEBERMAN (D CT),1989,55
15705,ROBB (D VA),1989,51
14400,AKAKA (D HI),1990,57
14809,CRAIG (R ID),1991,59
15116,SMITH (R NH),1990,58
49101,WELLSTONE (D MN),1991,60
14812,DORGAN (D ND),1992,62
49300,FEINSTEIN (D CA),1992,61
14826,GREGG (R NH),1993,64
15011,BOXER (D CA),1993,63
49301,COVERDELL (R GA),1993,68
49302,KEMPTHORNE (R ID),1993,72
49303,MOSELEY-BRA (D IL),1993,66
49304,FAIRCLOTH (R NC),1993,67
49306,HUTCHISON (R TX),1993,73
49307,BENNETT (R UT),1993,71
49308,MURRAY (D WA),1993,70
49309,FEINGOLD (D WI),1993,69
95407,CAMPBELL (R CO),1993,65
15424,INHOFE (R OK),1994,74
49503,THOMPSON (R TN),1994,75
14661,SNOWE (R ME),1995,76
15020,DEWINE (R OH),1995,77
15429,KYL (R AZ),1995,78
15633,THOMAS (R WY),1995,79
29141,SANTORUM (R PA),1995,80
29367,GRAMS (R MN),1995,81
49500,ABRAHAM (R MI),1995,83
49501,ASHCROFT (R MO),1995,82
49502,FRIST (R TN),1995,84
14871,WYDEN (D OR),1996,85
29523,BROWNBACK (R KS),1996,86
14852,ROBERTS (R KS),1997,87
15021,DURBIN (D IL),1997,88
15071,TORRICELLI (D NJ),1997,89
15425,JOHNSON (D SD),1997,90
29108,ALLARD (R CO),1997,91
29142,REED (D RI),1997,92
29306,HUTCHINSON (R AR),1997,93
49700,SESSIONS (R AL),1997,96
49701,CLELAND (D GA),1997,94
49702,LANDRIEU (D LA),1997,95
49703,COLLINS (R ME),1997,99
49704,HAGEL (R NE),1997,98
49705,SMITH (R OR),1997,97
49706,ENZI (R WY),1997,100
99909,CLINTON (D USA),,
