state,election_year,demVote,repVote,winner
AZ,2012,1036542,1104457,FLAKE (R AZ)
CA,2012,7864624,4713887,FEINSTEIN (D CA)
CT,2012,792983,604569,MURPHY (D CT)
DE,2012,265415,115700,CARPER (D DE)
FL,2012,4523451,3458267,NELSON (D FL)
HI,2012,269489,160994,HIRONO (D HI)
IN,2012,1281181,1133621,DONNELLY (D IL)
ME,2012,92900,215399,KING (Indep ME)
MD,2012,1474028,693291,CARDIN (D MD)
MA,2012,1696346,1458048,WARREN (D MA)
MI,2012,2735826,1767386,STABENOW (D MI)
MN,2012,1854595,867974,KLOBUCHAR (D MN)
MS,2012,503467,709626,WICKER (R MS)
MO,2012,1494125,1066159,MCCASKILL (D MO)
MT,2012,236123,218051,TESTER (D MT)
NE,2012,332979,455593,FISCHER (R NE)
NV,2012,446080,457656,HELLER (R NV)
NJ,2012,1985783,1329405,MENENDEZ (D NJ)
NM,2012,395717,351260,HEINRICH (D NM)
NY,2012,4432525,1517578,GILLIBRAND (D NY)
ND,2012,161163,158282,HEITKAMP (D ND)
OH,2012,2762766,2435744,BROWN (D OH)
PA,2012,3021364,2509132,CASEY (D PA)
RI,2012,271034,146222,WHITEHOUSE (D RI)
TN,2012,705882,1506443,CORKER (R TN)
TX,2012,3194927,4440137,CRUZ (R TX)
UT,2012,301873,657608,HATCH (R UT)
VT,2012,207848,72898,SANDERS (Indep VT)
VA,2012,2010067,1785542,KAINE (D VA)
WA,2012,1855493,1213924,CANTWELL (D WA)
WV,2012,399898,240787,MANCHIN (D WV)
WI,2012,1547104,1380126,BALDWIN (D WI)
WY,2012,53019,185250,BARRASSO (R WY)
AL,2010,515619,968181,SHELBY (R AL)
AK,2010,60045,90839,MILLER (R AK)
AZ,2010,592011,1005615,MCCAIN (R AZ)
AR,2010,288156,451618,BOOZMAN (R AR)
CA,2010,5218137,4217386,BOXER (D CA)
CO,2010,854685,824789,BENNETT (D CO)
CT,2010,635590,498341,BLUMENTHAL (D CT)
FL,2010,1092936,2645743,RUBIO (R FL)
GA,2010,996516,1489904,ISAKSON (R GA)
HI,2010,277228,79939,INOUYE (D HI)
ID,2010,112057,319953,CRAPO (R ID)
