state,election_year,demVote,repVote,winner,election_date
DE,2010,174012,123053,COONS (D DE),2010-11-02
NY,2010,2837684,1632693,GILLIBRAND (D NY),2010-11-02
WV,2010,283358,230013,MANCHIN (D WV),2010-11-02
MS,2008,560064,683409,WICKER (R MS),2008-11-04
WY,2008,66202,183063,BARRASSO (R WY),2008-11-04
MO,2002,913778,935032,TALENT (R MO),2002-11-05
GA,2000,1413224,920478,MILLER (D GA),2000-11-07
KS,1996,461344,574021,BROWNBACK (R KS),1996-11-05
TN,1994,565930,885998,THOMPSON (R TN),1994-11-08
OK,1994,392488,542390,INHOFE (R OK),1994-11-08
CA,1992,5853651,4093501,FEINSTEIN (D CA),1992-11-03
HI,1990,188901,155978,AKAKA (D HI),1990-11-06
IN,1990,696639,806048,COATS (R IN),1990-11-06
AL,1978,401852,316170,STEWART (D AL),1978-11-07
MN,1978,538675,957908,DURENBERGER (R MN),1978-11-07
NE,1992,103246,55194,CONRAD (D NE),1992-12-04
IL,2010,1641486,1677729,KIRK (R IL),2010-11-02
IL,1970,2065054,1519718,STEVENSON (D IL),1970-11-03
AK,1970,32456,47908,STEVENS (R AK),1970-11-03
GA,1992,618774,635118,COVERDELL (R GA),1992-11-24
MA,2010,1058682,1168107,BROWN (R MA),2010-01-19
NH,1975,140778,113007,DURKIN (D NH),1975-09-16
OR,1996,571739,553519,WYDEN (D OR),1996-01-06
TX,1993,576538,1188716,HUTCHISON (R TX),1993-06-05
VT,1972,23842,45888,STAFFORD (R VT),1972-01-07
PA,1991,1860760,1521986,WOFFORD (D PA),1991-11-05
WA,1983,540981,672326,EVANS (R WA),1983-11-03
