icpsr_state,statename,stabb,fips
81,Alaska ,AK,02
41,Alabama ,AL,01
42,Arkansas ,AR,05
61,Arizona ,AZ,04
71,California ,CA,06
62,Colorado ,CO,08
1,Connecticut ,CT,09
55,"Washington, DC",DC,11
11,Delaware ,DE,10
43,Florida ,FL,12
44,Georgia ,GA,13
82,Hawaii ,HI,15
31,Iowa ,IA,19
63,Idaho ,ID,16
21,Illinois ,IL,17
22,Indiana ,IN,18
32,Kansas ,KS,20
51,Kentucky ,KY,21
45,Louisiana ,LA,22
3,Massachusetts ,MA,25
52,Maryland ,MD,24
2,Maine ,ME,23
23,Michigan ,MI,26
33,Minnesota ,MN,27
34,Missouri ,MO,29
46,Mississippi ,MS,28
64,Montana ,MT,30
47,North Carolina ,NC,37
36,North Dakota ,ND,38
35,Nebraska ,NE,31
4,New Hampshire ,NH,33
12,New Jersey ,NJ,34
66,New Mexico ,NM,35
65,Nevada ,NV,32
13,New York ,NY,36
24,Ohio ,OH,39
53,Oklahoma ,OK,40
72,Oregon ,OR,41
14,Pennsylvania ,PA,42
5,Rhode Island ,RI,44
48,South Carolina ,SC,45
37,South Dakota ,SD,46
54,Tennessee ,TN,47
49,Texas ,TX,48
67,Utah ,UT,49
40,Virginia ,VA,51
6,Vermont ,VT,50
73,Washington ,WA,53
25,Wisconsin ,WI,55
56,West Virginia ,WV,54
68,Wyoming ,WY,56
