name,stabb,icpsrLegis
Allard,CO,29108
Allen,VA,29148
Blunt,MO,29735
Boozman,AR,20101
Brown,CO,14803
Brownback,KS,29523
Bunning,KY,15406
Burr,NC,29548
Chambliss,GA,29512
Coats,IN,114806
Coats,IN,214806
Coburn,OK,29555
Craig,ID,14809
Crapo,ID,29345
DeMint,SC,29936
DeWine,OH,15020
Ensign,NV,29537
Graham,SC,29566
Gramm,TX,14628
Grams,MN,29367
Gregg,NH,14826
Heller,NV,20730
Hutchinson,AR,29306
Inhofe,OK,15424
Isakson,GA,29909
Kirk,IL,20115
Kyl,AZ,15429
Mack,FL,15037
McCain,AZ,15039
Moran,KS,29722
Portman,OH,29386
Roberts,KS,14852
Santorum,PA,29141
Smith,NH,15116
Sununu,NH,29740
Talent,MO,29369
Thomas,WY,15633
Thune,SD,29754
Toomey,PA,29935
Vitter,LA,29918
Wicker,MS,29534
