icpsrLegis,mc,party,caucus,bioguide_id,direction,last_congress,next_congress
5926,MAHONE (Readjuster VA),Readjuster,NA,M000067,from,48,49
5926,MAHONE (R VA),R,R,M000067,to,48,49
7894,RIDDLEBERGE (Readjuster VA),Readjuster,NA,R000241,from,48,49
7894,RIDDLEBERGE (R VA),R,R,R000241,to,48,49
8948,STEWART (R NV),R,R,S000922,from,52,53
8948,STEWART (NA NV),Silver Republican,NA,S000922,to,52,53
5046,JONES (R NV),R,R,J000237,from,53,54
5046,JONES (NA NV),Silver Republican,NA,J000237,to,53,54
1480,CANNON (R UT),R,R,C000118,from,54,55
1480,CANNON (Silver Republican UT),Silver Republican,NA,C000118,to,54,55
2738,DUBOIS (R ID),R,R,D000509,from,54,57
2738,DUBOIS (D ID),D,D,D000509,to,54,57
5970,MANTLE (R MT),R,R,M000116,from,54,55
5970,MANTLE (Silver Republican MT),Silver Republican,NA,M000116,to,54,55
7379,PETTIGREW (R SD),R,R,P000271,from,54,55
7379,PETTIGREW (Silver Republican SD),Silver Republican,NA,P000271,to,54,55
4288,HEITFELD (Populist ID),Populist,NA,H000458,from,56,57
4288,HEITFELD (D ID),D,D,H000458,to,56,57
5046,JONES (NA NV),Silver Republican,NA,J000237,from,56,57
5046,JONES (R NV),R,R,J000237,to,56,57
8948,STEWART (NA NV),Silver Republican,NA,S000922,from,56,57
8948,STEWART (R NV),R,R,S000922,to,56,57
9246,TELLER (R CO),R,R,T000116,from,54,55
9246,TELLER (Silver Republican CO),Silver Republican,NA,T000116,to,54,55
9246,TELLER (Silver Republican CO),Silver Republican,NA,T000116,from,56,57
9246,TELLER (D CO),D,D,T000116,to,56,57
7502,POINDEXTER (R WA),R,R,P000403,from,62,63
7502,POINDEXTER (Progressive  WA),Progressive,NA,P000403,to,62,63
7502,POINDEXTER (Progressive  WA),Progressive,NA,P000403,from,63,64
7502,POINDEXTER (R WA),R,R,P000403,to,63,64
5402,LAFOLLETTE (R WI),R,R,L000005,from,73,74
5402,LAFOLLETTE (Progressive  WI),Progressive,R,L000005,to,73,74
6960,NORRIS (R NE),R,R,N000139,from,74,75
6960,NORRIS (Indep NE),Indep,NA,N000139,to,74,75
8476,SHIPSTEAD (Farmer-Labor MN),Farmer-Labor,NA,S000369,from,76,77
8476,SHIPSTEAD (R MN),R,R,S000369,to,76,77
96738,MORSE (R OR),R,R,M001014,from,82,83
6738,MORSE (Indep OR),Indep,NA,M001014,to,82,83
6738,MORSE (Indep OR),Indep,NA,M001014,from,84,85
6738,MORSE (D OR),D,D,M001014,to,84,85
99369,THURMOND (D SC),D,D,T000254,from,88,89
9369,THURMOND (R SC),R,R,T000254,to,88,89
10802,BYRD (D VA) 10802,D,D,B001209,from,91,92
10802,BYRD (Indep VA),Indep,NA,B001209,to,91,92
14659,SHELBY (D AL),D,D,S000320,from,103,104
94659,SHELBY (R AL),R,R,S000320,to,103,104
15704,LIEBERMAN (D CT),D,D,L000304,from,109,110
15704,LIEBERMAN (D CT),Independent Democrat,D,L000304,to,109,110
15407,CAMPBELL (D CO),D,D,C000077,from,104,104
95407,CAMPBELL (R CO),R,R,C000077,to,104,104
49705,SMITH (R OR),R,R,S001142,from,104,104
49705,SMITH (R OR),Indep,R,S001142,to,104,104
49705,SMITH (R OR),Indep,R,S001142,from,104,104
49705,SMITH (R OR),R,R,S001142,to,104,104
14240,JEFFORDS (R VT),R,R,J000072,from,107,107
94240,JEFFORDS (Indep VT),Indep,D,J000072,to,107,107
14910,SPECTER (R PA),R,R,S000709,from,111,111
94910,SPECTER (D PA),D,D,S000709,to,111,111
