icpsrLegis,name,freshmanYear,sen
1366,BYRD (D WV),1959,1
10808,KENNEDY (D MA),1962,2
4812,INOUYE (D HI),1963,3
12109,STEVENS (R AK),1968,4
14101,BIDEN (D DE),1973,6
14103,DOMENICI (R NM),1973,5
14307,LEAHY (D VT),1975,7
13039,SARBANES (D MD),1977,8
14503,HATCH (R UT),1977,10
14506,LUGAR (R IN),1977,9
14009,COCHRAN (R MS),1978,12
14203,BAUCUS (D MT),1978,11
14709,LEVIN (D MI),1979,14
14712,WARNER (R VA),1979,13
14213,DODD (D CT),1981,15
14226,GRASSLEY (R IA),1981,16
14910,SPECTER (R PA),1981,17
14914,LAUTENBERG (D NJ),1982,84
14912,BINGAMAN (D NM),1983,18
14230,HARKIN (D IA),1985,20
14920,KERRY (D MA),1985,19
14921,MCCONNELL (R KY),1985,21
14922,ROCKEFELLER (D WV),1985,22
14440,MIKULSKI (D MD),1987,23
15039,MCCAIN (R AZ),1987,25
15054,REID (D NV),1987,26
15501,BOND (R MO),1987,27
15502,CONRAD (D ND),1987,28
94659,SHELBY (R AL),1987,24
14031,LOTT (R MS),1989,29
15701,BURNS (R MT),1989,33
15703,KOHL (D WI),1989,31
15704,LIEBERMAN (D CT),1989,32
94240,JEFFORDS (Indep VT),1989,30
14400,AKAKA (D HI),1990,34
14809,CRAIG (R ID),1991,35
14812,DORGAN (D ND),1992,37
49300,FEINSTEIN (D CA),1992,36
14826,GREGG (R NH),1993,39
15011,BOXER (D CA),1993,38
49306,HUTCHISON (R TX),1993,43
49307,BENNETT (R UT),1993,42
49308,MURRAY (D WA),1993,41
49309,FEINGOLD (D WI),1993,40
15424,INHOFE (R OK),1994,44
14661,SNOWE (R ME),1995,45
15020,DEWINE (R OH),1995,46
15429,KYL (R AZ),1995,47
15633,THOMAS (R WY),1995,48
29141,SANTORUM (R PA),1995,49
49502,FRIST (R TN),1995,50
14871,WYDEN (D OR),1996,51
29523,BROWNBACK (R KS),1996,52
14852,ROBERTS (R KS),1997,53
15021,DURBIN (D IL),1997,54
15425,JOHNSON (D SD),1997,55
29108,ALLARD (R CO),1997,56
29142,REED (D RI),1997,57
49700,SESSIONS (R AL),1997,59
49702,LANDRIEU (D LA),1997,58
49703,COLLINS (R ME),1997,62
49704,HAGEL (R NE),1997,61
49705,SMITH (R OR),1997,60
49706,ENZI (R WY),1997,63
14858,SCHUMER (D NY),1999,64
15406,BUNNING (R KY),1999,65
29305,LINCOLN (D AR),1999,67
29345,CRAPO (R ID),1999,66
49901,BAYH (D IN),1999,69
49903,VOINOVICH (R OH),1999,68
49905,CHAFEE (R RI),1999,70
14651,NELSON (D FL),2001,71
15015,CARPER (D DE),2001,72
29148,ALLEN (R VA),2001,75
29537,ENSIGN (R NV),2001,74
29732,STABENOW (D MI),2001,73
39310,CANTWELL (D WA),2001,76
40101,DAYTON (D MN),2001,80
40103,NELSON (D NE),2001,77
40104,CORZINE (D NJ),2001,79
40105,CLINTON (D NY),2001,78
29369,TALENT (R MO),2002,81
40300,MURKOWSKI (R AK),2002,83
40305,CORNYN (R TX),2002,82
29512,CHAMBLISS (R GA),2003,85
29566,GRAHAM (R SC),2003,86
29740,SUNUNU (R NH),2003,87
40301,PRYOR (D AR),2003,91
40302,COLEMAN (R MN),2003,90
40303,DOLE (R NC),2003,89
40304,ALEXANDER (R TN),2003,88
29548,BURR (R NC),2005,92
29555,COBURN (R OK),2005,94
29754,THUNE (R SD),2005,95
29909,ISAKSON (R GA),2005,96
29918,VITTER (R LA),2005,97
29936,DEMINT (R SC),2005,93
40500,SALAZAR (D CO),2005,100
40501,MARTINEZ (R FL),2005,98
40502,OBAMA (D IL),2005,99
29373,MENENDEZ (D NJ),2006,
99910,BUSH (R USA),,
