mc,icpsrLegis,congress,variable,new_value,reason
DRYDON (R NJ),2736,NA,mc,DRYDEN (R NJ),misspelling in mc
MILLIKEN (R CO),6525,NA,mc,MILLIKIN (R CO),misspelling in mc
WILLS (R IN),10205,NA,mc,WILLIS (R IN),misspelling in mc
DAMATO (R NY),14900,NA,mc,D'AMATO (R NY),misspelling in mc
VAN (D IN),9626,NA,mc,VAN NUYS (D IN),misspelling in mc
VANNUYS (D IN),9626,NA,mc,VAN NUYS (D IN),misspelling in mc
ROBBINSON (R IN),7972,NA,mc,ROBINSON (R IN),misspelling in mc
AUARLES (R WI),7665,NA,mc,QUARLES (R WI),misspelling in mc
TALIAFERO (D FL),9166,NA,mc,TALIAFERRO (D FL),misspelling in mc
VANWYCK (R NE),9643,NA,mc,VAN WYCK (R NE),misspelling in mc
VAN (R NE),9643,NA,mc,VAN WYCK (R NE),misspelling in mc
TILLMANN (D SC),9386,NA,mc,TILLMAN (D SC),misspelling in mc
HICKENLOOPE (R IA),4382,NA,mc,HICKENLOOPER (R IA),misspelling in mc
STEWART (NA NV),8948,NA,mc,STEWART (Silver Republican NV),mislabelled mc
JONES (NA NV),5046,NA,mc,JONES (Silver Republican NV),mislabelled mc
POINDEXTER (Progressive  WA),7502,NA,mc,POINDEXTER (Progressive WA),mislabelled mc
LAFOLLETTE (Progressive  WI),5402,NA,mc,LAFOLLETTE (Progressive WI),mislabelled mc
VAN (Unconditional Unionist WV),9642,NA,mc,VAN WINKLE (Unconditional Unionist WV),misspelling in mc
VANWINKLE (R WV),9642,NA,mc,VAN WINKLE (R WV),misspelling in mc
STEWART (Silver Republican NV),8948,NA,party,Silver Republican,mislabelled party
JONES (Silver Republican NV),5046,NA,party,Silver Republican,mislabelled party
LIEBERMAN (D CT),15704,110,party,Independent Democrat,mislabelled party
LIEBERMAN (D CT),15704,110,mc,LIEBERMAN (Independent Democrat CT),mislabelled mc
POINDEXTER (Progressive WA),87502,NA,party,Progressive,mislabelled party
JEFFORDS (R VT),94240,NA,icpsrLegis,14240,altered ICPSR
SHELBY (R AL),94659,NA,icpsrLegis,14659,altered ICPSR
SPECTER (D PA),94910,NA,icpsrLegis,14910,altered ICPSR
CAMPBELL (R CO),95407,NA,icpsrLegis,15407,altered ICPSR
MORSE (R OR),96738,NA,icpsrLegis,6738,altered ICPSR
THURMOND (D SC),99369,NA,icpsrLegis,9369,altered ICPSR
