,name,icpsrLegis,congress
1,NIXON (R USA),99904,
2,FORD (R USA),99905,
3,SPARKMAN (D AL),8764,95
4,ALLEN (D AL),12100,95
5,GRAVEL (D AK),12105,
6,STEVENS (R AK),12109,
7,GOLDWATER (R AZ),3658,99
8,FANNIN (R AZ),10804,94
9,MCCLELLAN (D AR),6151,94
10,FULBRIGHT (D AR),3388,
11,TUNNEY (D CA),10777,
12,CRANSTON (D CA),12103,102
13,HASKELL (D CO),14104,
14,DOMINICK (R CO),10514,
15,WEICKER (R CT),12032,
16,RIBICOFF (D CT),7847,96
17,BIDEN (D DE),14101,110
18,ROTH (R DE),11044,
19,GURNEY (R FL),10593,93
20,CHILES (D FL),13101,100
21,TALMADGE (D GA),9174,
22,NUNN (D GA),14108,104
23,FONG (R HI),3255,94
24,INOUYE (D HI),4812,112
25,MCCLURE (R ID),11029,101
26,CHURCH (D ID),1721,
27,STEVENSON (D IL),13102,96
28,PERCY (R IL),11205,
29,BAYH (D IN),10800,
30,HARTKE (D IN),4154,
31,HUGHES (D IA),12106,93
32,CLARK (D IA),14102,
33,PEARSON (R KS),10817,95
34,DOLE (R KS),10513,104
35,HUDDLESTON (D KY),14106,
36,COOK (R KY),12102,
37,LONG (D LA),5767,99
38,JOHNSTON (D LA),14107,104
39,MUSKIE (D ME),6831,
40,HATHAWAY (D ME),10736,
41,BEALL (R MD),12002,
42,MATHIAS (R MD),10535,99
43,KENNEDY (D MA),10808,110
44,BROOKE (R MA),11201,
45,GRIFFIN (R MI),3824,
46,HART (D MI),4148,94
47,MONDALE (D MN),10813,
48,HUMPHREY (D MN),4728,95
49,STENNIS (D MS),8883,100
50,EASTLAND (D MS),2822,95
51,EAGLETON (D MO),12104,99
52,SYMINGTON (D MO),9141,94
53,METCALF (D MT),6442,95
54,MANSFIELD (D MT),5967,94
55,HRUSKA (R NE),4660,94
56,CURTIS (R NE),2267,95
57,CANNON (D NV),1482,
58,BIBLE (D NV),688,93
59,LAXALT (R NV),14077,99
60,COTTON (R NH),2087,93
61,MCINTYRE (D NH),10810,
62,CASE (R NJ),1569,
63,WILLIAMS (D NJ),10147,
64,DOMENICI (R NM),14103,110
65,MONTOYA (D NM),6611,
66,JAVITS (R NY),4898,
67,BUCKLEY (Conservative NY),13100,
68,ERVIN (D NC),2987,93
69,HELMS (R NC),14105,107
70,BURDICK (D ND),1252,102
71,YOUNG (R ND),10450,96
72,TAFT (R OH),10630,
73,SAXBE (R OH),12108,
74,METZENBAUM (D OH),14073,103
75,BARTLETT (R OK),14100,95
76,BELLMON (R OK),12101,96
77,PACKWOOD (R OR),12107,104
78,HATFIELD (R OR),11203,104
79,SCOTT (R PA),8301,94
80,SCHWEIKER (R PA),10557,96
81,PELL (D RI),10818,104
82,PASTORE (D RI),7229,
83,THURMOND (R SC),9369,107
84,HOLLINGS (D SC),11204,108
85,ABOUREZK (D SD),13000,95
86,MCGOVERN (D SD),6256,
87,BAKER (R TN),11200,98
88,BROCK (R TN),10571,
89,TOWER (R TX),10823,98
90,BENTSEN (D TX),660,
91,MOSS (D UT),6754,
92,BENNETT (R UT),645,93
93,STAFFORD (R VT),10562,100
94,AIKEN (R VT),52,93
95,SCOTT (R VA),11048,95
96,BYRD (Indep VA),10802,96
97,MAGNUSON (D WA),5913,
98,JACKSON (D WA),4851,98
99,BYRD (D WV),1366,111
100,RANDOLPH (D WV),7722,98
101,PROXMIRE (D WI),7638,100
102,NELSON (D WI),10816,
103,MCGEE (D WY),6249,
104,HANSEN (R WY),11202,95
113,BUMPERS (D AR),14300,105
117,HART (D CO),14305,99
122,STONE (D FL),14309,
135,CULVER (D IA),10715,
139,FORD (D KY),14302,105
164,DURKIN (D NH),14310,
171,MORGAN (D NC),14308,
175,GLENN (D OH),14304,105
194,GARN (R UT),14303,102
196,LEAHY (D VT),14307,
207,CARTER (D USA),99906,
210,ALLEN (D AL) 14517,14517,
213,DECONCINI (D AZ),14502,103
217,HODGES (D AR),14514,95
219,HAYAKAWA (R CA),14504,97
230,MATSUNAGA (D HI),10605,101
236,LUGAR (R IN),14506,
248,SARBANES (D MD),13039,109
253,RIEGLE (D MI),11043,103
255,HUMPHREY (D MN) 14516,14516,
256,ANDERSON (D MN),14513,
259,DANFORTH (R MO),14501,103
261,MELCHER (D MT),12039,
263,HATFIELD (D MT),14515,
264,ZORINSKY (D NE),14512,100
272,SCHMITT (R NM),14510,
275,MOYNIHAN (D NY),14508,106
286,HEINZ (R PA),13050,102
288,CHAFEE (R RI),14500,106
294,SASSER (D TN),14509,
299,HATCH (R UT),14503,
310,WALLOP (R WY),14511,103
313,HEFLIN (D AL),14705,104
314,STEWART (D AL),14711,
319,PRYOR (D AR),10791,104
324,ARMSTRONG (R CO),14002,101
341,JEPSEN (R IA),14707,
344,KASSEBAUM (R KS),14708,104
349,COHEN (R ME),14010,104
351,MITCHELL (D ME),14713,103
354,TSONGAS (D MA),14279,98
356,LEVIN (D MI),14709,
358,DURENBERGER (R MN),14703,103
359,BOSCHWITZ (R MN),14701,
360,COCHRAN (R MS),14009,
365,BAUCUS (D MT),14203,
366,EXON (D NE),14704,104
371,HUMPHREY (R NH),14706,101
373,BRADLEY (D NJ),14702,104
385,BOREN (D OK),14700,103
395,PRESSLER (R SD),14268,
404,WARNER (R VA),14712,110
413,SIMPSON (R WY),14710,104
414,REAGAN (R USA),99907,
416,DENTON (R AL),14901,
418,MURKOWSKI (R AK),14907,
427,DODD (D CT),14213,111
432,HAWKINS (R FL),14905,
434,MATTINGLY (R GA),14906,
438,SYMMS (R ID),14056,102
440,DIXON (D IL),14902,102
441,QUAYLE (R IN),14447,
443,GRASSLEY (R IA),14226,
471,RUDMAN (R NH),14909,102
475,BRADY (R NJ),14911,96
478,DAMATO (R NY),14900,
480,EAST (R NC),14903,99
482,ANDREWS (R ND),10569,
486,NICKLES (R OK),14908,108
490,SPECTER (R PA),14910,
497,ABDNOR (R SD),14000,
509,GORTON (R WA),14904,
513,KASTEN (R WI),14242,
525,WILSON (R CA),14915,
571,HECHT (R NV),14913,
576,LAUTENBERG (D NJ),14914,106
