icpsrLegis,name,freshmanYear,sen
1366,BYRD (D WV),1959,1
10808,KENNEDY (D MA),1962,2
4812,INOUYE (D HI),1963,3
14101,BIDEN (D DE),1973,4
14307,LEAHY (D VT),1975,5
14503,HATCH (R UT),1977,7
14506,LUGAR (R IN),1977,6
14009,COCHRAN (R MS),1978,9
14203,BAUCUS (D MT),1978,8
14709,LEVIN (D MI),1979,10
14213,DODD (D CT),1981,11
14226,GRASSLEY (R IA),1981,12
14910,SPECTER (R PA),1981,13
94910,SPECTER (D PA),1981,13
14914,LAUTENBERG (D NJ),1982,64
14912,BINGAMAN (D NM),1983,14
14230,HARKIN (D IA),1985,16
14920,KERRY (D MA),1985,15
14921,MCCONNELL (R KY),1985,17
14922,ROCKEFELLER (D WV),1985,18
14440,MIKULSKI (D MD),1987,19
15039,MCCAIN (R AZ),1987,21
15054,REID (D NV),1987,22
15501,BOND (R MO),1987,23
15502,CONRAD (D ND),1987,24
94659,SHELBY (R AL),1987,20
15703,KOHL (D WI),1989,25
15704,LIEBERMAN (D CT),1989,26
14400,AKAKA (D HI),1990,27
14812,DORGAN (D ND),1992,29
49300,FEINSTEIN (D CA),1992,28
14826,GREGG (R NH),1993,31
15011,BOXER (D CA),1993,30
49306,HUTCHISON (R TX),1993,35
49307,BENNETT (R UT),1993,34
49308,MURRAY (D WA),1993,33
49309,FEINGOLD (D WI),1993,32
15424,INHOFE (R OK),1994,36
14661,SNOWE (R ME),1995,37
15429,KYL (R AZ),1995,38
14871,WYDEN (D OR),1996,39
29523,BROWNBACK (R KS),1996,40
14852,ROBERTS (R KS),1997,41
15021,DURBIN (D IL),1997,42
15425,JOHNSON (D SD),1997,43
29142,REED (D RI),1997,44
49700,SESSIONS (R AL),1997,46
49702,LANDRIEU (D LA),1997,45
49703,COLLINS (R ME),1997,47
49706,ENZI (R WY),1997,48
14858,SCHUMER (D NY),1999,49
15406,BUNNING (R KY),1999,50
29305,LINCOLN (D AR),1999,52
29345,CRAPO (R ID),1999,51
49901,BAYH (D IN),1999,54
49903,VOINOVICH (R OH),1999,53
14651,NELSON (D FL),2001,55
15015,CARPER (D DE),2001,56
29537,ENSIGN (R NV),2001,58
29732,STABENOW (D MI),2001,57
39310,CANTWELL (D WA),2001,59
40103,NELSON (D NE),2001,60
40105,CLINTON (D NY),2001,61
40300,MURKOWSKI (R AK),2002,63
40305,CORNYN (R TX),2002,62
29512,CHAMBLISS (R GA),2003,65
29566,GRAHAM (R SC),2003,66
40301,PRYOR (D AR),2003,68
40304,ALEXANDER (R TN),2003,67
29548,BURR (R NC),2005,69
29555,COBURN (R OK),2005,71
29754,THUNE (R SD),2005,72
29909,ISAKSON (R GA),2005,73
29918,VITTER (R LA),2005,74
29936,DEMINT (R SC),2005,70
40500,SALAZAR (D CO),2005,76
40501,MARTINEZ (R FL),2005,75
29373,MENENDEZ (D NJ),2006,77
15408,CARDIN (D MD),2007,78
29147,SANDERS (Indep VT),2007,79
29389,BROWN (D OH),2007,80
29534,WICKER (R MS),2007,89
40700,KLOBUCHAR (D MN),2007,85
40701,MCCASKILL (D MO),2007,84
40702,TESTER (D MT),2007,87
40703,CASEY (D PA),2007,81
40704,WHITEHOUSE (D RI),2007,86
40705,CORKER (R TN),2007,83
40706,WEBB (D VA),2007,82
40707,BARASSO (R WY),2007,88
20735,GILLIBRAND (D NY),2009,
29906,UDALL (D CO),2009,90
29924,UDALL (D NM),2009,91
40900,BEGICH (D AK),2009,98
40901,KAUFMAN (D DE),2009,
40902,RISCH (R ID),2009,95
40903,BURRIS (D IL),2009,99
40904,FRANKEN (D MN),2009,100
40905,JOHANNS (R NE),2009,92
40906,SHAHEEN (D NH),2009,93
40907,HAGAN (D NC),2009,96
40908,MERKLEY (D OR),2009,97
40909,WARNER (D VA),2009,76
40910,BENNET (D CO),2009,81
40911,LEMIEUX (R FL),2009,
40912,KIRK (D MA),2009,
20115,KIRK (R IL),2010,
40913,BROWN (R MA),2010,
40914,GOODWIN (D WV),2010,
40915,MANCHIN (D WV),2010,
40916,COONS (D DE),2010,
99911,OBAMA (D USA),,
