icpsrLegis,first_congress_in_dataset,last_congress_in_dataset,mc,stabb,first_year,class
14000,97,99,ABDNOR (R SD),SD,1981,3
13000,93,95,ABOUREZK (D SD),SD,,
49500,104,106,ABRAHAM (R MI),MI,,
10700,100,102,ADAMS (D WA),WA,,
52,93,93,AIKEN (R VT),VT,,
14400,101,112,AKAKA (D HI),HI,,
40304,108,112,ALEXANDER (R TN),TN,,
29108,105,110,ALLARD (R CO),CO,,
12100,93,95,ALLEN (D AL),AL,,
14517,95,95,ALLEN (D AL) 14517,AL,,
29148,107,109,ALLEN (R VA),VA,,
14513,95,95,ANDERSON (D MN),MN,,
10569,97,99,ANDREWS (R ND),ND,,
14002,96,101,ARMSTRONG (R CO),CO,,
49501,104,106,ASHCROFT (R MO),MO,,
41106,112,112,AYOTTE (R NH),NH,,
11200,93,98,BAKER (R TN),TN,,
40707,110,112,BARASSO (R WY),WY,,
40106,107,107,BARKLEY (Indep MN),MN,,
14100,93,95,BARTLETT (R OK),OK,,
14203,96,112,BAUCUS (D MT),MT,,
10800,93,96,BAYH (D IN),IN,,
49901,106,111,BAYH (D IN),IN,,
12002,93,94,BEALL (R MD),MD,,
40900,111,112,BEGICH (D AK),AK,,
12101,93,96,BELLMON (R OK),OK,,
40910,111,112,BENNET (D CO),CO,,
645,93,93,BENNETT (R UT),UT,,
49307,103,111,BENNETT (R UT),UT,,
660,93,102,BENTSEN (D TX),TX,,
688,93,93,BIBLE (D NV),NV,,
14101,93,111,BIDEN (D DE),DE,,
14912,98,112,BINGAMAN (D NM),NM,,
41101,112,112,BLUMENTHAL (D CT),CT,,
29735,112,112,BLUNT (R MO),MO,,
15501,100,111,BOND (R MO),MO,,
20101,112,112,BOOZMAN (R AR),AR,,
14700,96,103,BOREN (D OK),OK,,
14701,96,101,BOSCHWITZ (R MN),MN,,
15011,103,112,BOXER (D CA),CA,,
14702,96,104,BRADLEY (D NJ),NJ,,
14911,97,97,BRADY (R NJ),NJ,,
13056,100,108,BREAUX (D LA),LA,,
10571,93,94,BROCK (R TN),TN,,
11201,93,95,BROOKE (R MA),MA,,
29389,110,112,BROWN (D OH),OH,,
14803,102,104,BROWN (R CO),CO,,
40913,111,112,BROWN (R MA),MA,,
29523,105,111,BROWNBACK (R KS),KS,,
10574,99,99,BROYHILL (R NC),NC,,
15700,101,106,BRYAN (D NV),NV,,
13100,93,94,BUCKLEY (Conservative NY),NY,,
14300,94,105,BUMPERS (D AR),AR,,
15406,106,111,BUNNING (R KY),KY,,
1252,93,102,BURDICK (D ND),ND,,
49103,102,102,BURDICK2 (D ND),ND,,
15701,101,109,BURNS (R MT),MT,,
29548,109,112,BURR (R NC),NC,,
40903,111,111,BURRIS (D IL),IL,,
1366,93,111,BYRD (D WV),WV,,
10802,93,97,BYRD (Indep VA),VA,,
15407,103,104,CAMPBELL (D CO),CO,,
95407,104,108,CAMPBELL (R CO),CO,,
