mc,icpsrLegis,seniority,congress
INOUYE (D HI),4812,24,112
LEAHY (D VT),14307,18,112
HATCH (R UT),14503,17,112
LUGAR (R IN),14506,17,112
COCHRAN (R MS),14009,17,112
BAUCUS (D MT),14203,17,112
LEVIN (D MI),14709,16,112
GRASSLEY (R IA),14226,15,112
LAUTENBERG (D NJ),14914,4,112
BINGAMAN (D NM),14912,14,112
HARKIN (D IA),14230,13,112
KERRY (D MA),14920,13,112
MCCONNELL (R KY),14921,13,112
ROCKEFELLER (D WV),14922,13,112
MIKULSKI (D MD),14440,12,112
MCCAIN (R AZ),15039,12,112
REID (D NV),15054,12,112
CONRAD (D ND),15502,12,112
SHELBY (R AL),94659,12,112
COATS (R IN),14806,0,112
KOHL (D WI),15703,11,112
LIEBERMAN (D CT),15704,11,112
AKAKA (D HI),14400,11,112
FEINSTEIN (D CA),49300,10,112
BOXER (D CA),15011,9,112
HUTCHISON (R TX),49306,9,112
MURRAY (D WA),49308,9,112
INHOFE (R OK),15424,9,112
SNOWE (R ME),14661,8,112
KYL (R AZ),15429,8,112
WYDEN (D OR),14871,8,112
ROBERTS (R KS),14852,7,112
DURBIN (D IL),15021,7,112
JOHNSON (D SD),15425,7,112
REED (D RI),29142,7,112
SESSIONS (R AL),49700,7,112
LANDRIEU (D LA),49702,7,112
COLLINS (R ME),49703,7,112
ENZI (R WY),49706,7,112
SCHUMER (D NY),14858,6,112
CRAPO (R ID),29345,6,112
NELSON (D FL),14651,5,112
CARPER (D DE),15015,5,112
ENSIGN (R NV),29537,5,112
STABENOW (D MI),29732,5,112
CANTWELL (D WA),39310,5,112
NELSON (D NE),40103,5,112
MURKOWSKI (R AK),40300,5,112
CORNYN (R TX),40305,5,112
CHAMBLISS (R GA),29512,4,112
GRAHAM (R SC),29566,4,112
PRYOR (D AR),40301,4,112
ALEXANDER (R TN),40304,4,112
BURR (R NC),29548,3,112
COBURN (R OK),29555,3,112
THUNE (R SD),29754,3,112
ISAKSON (R GA),29909,3,112
VITTER (R LA),29918,3,112
DEMINT (R SC),29936,3,112
MENENDEZ (D NJ),29373,3,112
CARDIN (D MD),15408,2,112
SANDERS (Indep VT),29147,2,112
BROWN (D OH),29389,2,112
WICKER (R MS),29534,2,112
KLOBUCHAR (D MN),40700,2,112
MCCASKILL (D MO),40701,2,112
TESTER (D MT),40702,2,112
CASEY (D PA),40703,2,112
WHITEHOUSE (D RI),40704,2,112
CORKER (R TN),40705,2,112
WEBB (D VA),40706,2,112
BARASSO (R WY),40707,2,112
GILLIBRAND (D NY),20735,1,112
UDALL (D CO),29906,1,112
UDALL (D NM),29924,1,112
BEGICH (D AK),40900,1,112
RISCH (R ID),40902,1,112
FRANKEN (D MN),40904,1,112
JOHANNS (R NE),40905,1,112
SHAHEEN (D NH),40906,1,112
HAGAN (D NC),40907,1,112
MERKLEY (D OR),40908,1,112
WARNER (D VA),40909,1,112
BENNET (D CO),40910,1,112
KIRK (R IL),20115,1,112
BROWN (R MA),40913,1,112
MANCHIN (D WV),40915,1,112
COONS (D DE),40916,1,112
BOOZMAN (R AR),20101,0,112
HELLER (R NV),20730,0,112
PORTMAN (R OH),29386,0,112
MORAN (R KS),29722,0,112
BLUNT (R MO),29735,0,112
TOOMEY (R PA),29935,0,112
BLUMENTHAL (D CT),41101,0,112
RUBIO (R FL),41102,0,112
PAUL (R KY),41104,0,112
AYOTTE (R NH),41106,0,112
HOEVEN (R ND),41107,0,112
LEE (R UT),41110,0,112
JOHNSON (R WI),41111,0,112
SCHATZ (D HI),41112,0,112
BYRD (D WV),1366,25,111
KENNEDY (D MA),10808,24,111
INOUYE (D HI),4812,23,111
BIDEN (D DE),14101,18,111
LEAHY (D VT),14307,17,111
HATCH (R UT),14503,16,111
LUGAR (R IN),14506,16,111
COCHRAN (R MS),14009,16,111
BAUCUS (D MT),14203,16,111
LEVIN (D MI),14709,15,111
DODD (D CT),14213,14,111
GRASSLEY (R IA),14226,14,111
SPECTER (R PA),14910,14,111
SPECTER (D PA),94910,14,111
LAUTENBERG (D NJ),14914,14,111
BINGAMAN (D NM),14912,13,111
HARKIN (D IA),14230,12,111
KERRY (D MA),14920,12,111
MCCONNELL (R KY),14921,12,111
ROCKEFELLER (D WV),14922,12,111
MIKULSKI (D MD),14440,11,111
MCCAIN (R AZ),15039,11,111
REID (D NV),15054,11,111
BOND (R MO),15501,11,111
CONRAD (D ND),15502,11,111
SHELBY (R AL),94659,11,111
KOHL (D WI),15703,10,111
LIEBERMAN (D CT),15704,10,111
AKAKA (D HI),14400,10,111
DORGAN (D ND),14812,9,111
FEINSTEIN (D CA),49300,9,111
GREGG (R NH),14826,9,111
BOXER (D CA),15011,8,111
HUTCHISON (R TX),49306,8,111
BENNETT (R UT),49307,8,111
MURRAY (D WA),49308,8,111
FEINGOLD (D WI),49309,8,111
INHOFE (R OK),15424,8,111
SNOWE (R ME),14661,7,111
KYL (R AZ),15429,7,111
WYDEN (D OR),14871,7,111
BROWNBACK (R KS),29523,7,111
ROBERTS (R KS),14852,6,111
DURBIN (D IL),15021,6,111
JOHNSON (D SD),15425,6,111
REED (D RI),29142,6,111
SESSIONS (R AL),49700,6,111
LANDRIEU (D LA),49702,6,111
COLLINS (R ME),49703,6,111
ENZI (R WY),49706,6,111
SCHUMER (D NY),14858,5,111
BUNNING (R KY),15406,5,111
LINCOLN (D AR),29305,5,111
CRAPO (R ID),29345,5,111
BAYH (D IN),49901,5,111
VOINOVICH (R OH),49903,5,111
NELSON (D FL),14651,4,111
CARPER (D DE),15015,4,111
ENSIGN (R NV),29537,4,111
STABENOW (D MI),29732,4,111
CANTWELL (D WA),39310,4,111
NELSON (D NE),40103,4,111
CLINTON (D NY),40105,4,111
MURKOWSKI (R AK),40300,4,111
CORNYN (R TX),40305,4,111
CHAMBLISS (R GA),29512,3,111
GRAHAM (R SC),29566,3,111
PRYOR (D AR),40301,3,111
ALEXANDER (R TN),40304,3,111
BURR (R NC),29548,2,111
COBURN (R OK),29555,2,111
THUNE (R SD),29754,2,111
ISAKSON (R GA),29909,2,111
VITTER (R LA),29918,2,111
DEMINT (R SC),29936,2,111
SALAZAR (D CO),40500,2,111
MARTINEZ (R FL),40501,2,111
MENENDEZ (D NJ),29373,2,111
CARDIN (D MD),15408,1,111
SANDERS (Indep VT),29147,1,111
BROWN (D OH),29389,1,111
WICKER (R MS),29534,1,111
KLOBUCHAR (D MN),40700,1,111
MCCASKILL (D MO),40701,1,111
TESTER (D MT),40702,1,111
CASEY (D PA),40703,1,111
WHITEHOUSE (D RI),40704,1,111
CORKER (R TN),40705,1,111
WEBB (D VA),40706,1,111
BARASSO (R WY),40707,1,111
GILLIBRAND (D NY),20735,0,111
UDALL (D CO),29906,0,111
UDALL (D NM),29924,0,111
BEGICH (D AK),40900,0,111
KAUFMAN (D DE),40901,0,111
RISCH (R ID),40902,0,111
BURRIS (D IL),40903,0,111
FRANKEN (D MN),40904,0,111
JOHANNS (R NE),40905,0,111
SHAHEEN (D NH),40906,0,111
HAGAN (D NC),40907,0,111
