"","congress","icpsrLegis"
"1",80,1494
"2",80,1027
"3",80,3882
"4",80,9401
"5",80,1194
"6",80,52
"7",80,6525
"8",80,9604
"9",80,10047
"10",80,10110
"11",80,9152
"12",80,5452
"13",80,1338
"14",80,7826
"15",80,1071
"16",81,9303
"17",81,6293
"18",81,9538
"19",81,6107
"20",81,6260
"21",81,6856
"22",81,6151
"23",81,3536
"24",81,1986
"25",81,7070
"26",81,4949
"27",81,6132
"28",81,9291
"29",81,5009
"30",81,1678
"31",81,4227
"32",82,2901
"33",82,6293
"34",82,8138
"35",82,6107
"36",82,6856
"37",82,6151
"38",82,3536
"39",82,1986
"40",82,7070
"41",82,4949
"42",82,6132
"43",82,6820
"44",82,5009
"45",82,1678
"46",82,4227
"47",83,52
"48",83,1027
"49",83,8185
"50",83,1489
"51",83,1570
"52",83,6525
"53",83,10110
"54",83,6137
"55",83,1338
"56",83,2066
"57",83,9401
"58",83,1024
"59",83,5452
"60",83,8635
"61",83,1510
"62",83,6021
"63",83,4922
"64",84,2901
"65",84,4227
"66",84,8138
"67",84,3388
"68",84,6856
"69",84,1365
"70",84,3536
"71",84,6151
"72",84,6820
"73",84,5913
"74",84,5240
"75",84,2822
"76",84,4418
"77",84,5009
"78",84,1678
"79",84,3783
"80",85,4979
"81",85,2901
"82",85,4227
"83",85,8138
"84",85,3388
"85",85,6856
"86",85,688
"87",85,1365
"88",85,3783
"89",85,6151
"90",85,6820
"91",85,5913
"92",85,2822
"93",85,4418
"94",85,5009
"95",85,1678
"96",85,4328
"97",86,4979
"98",86,2901
"99",86,4227
"100",86,8138
"101",86,3388
"102",86,7958
"103",86,688
"104",86,1365
"105",86,3783
"106",86,3388
"107",86,6151
"108",86,6820
"109",86,5913
"110",86,2822
"111",86,4418
"112",86,5009
"113",86,1678
"114",86,4328
"115",87,5213
"116",87,2901
"117",87,4227
"118",87,8138
"119",87,7958
"120",87,688
"121",87,1365
"122",87,3388
"123",87,6151
"124",87,165
"125",87,5913
"126",87,2822
"127",87,4418
"128",87,5009
"129",87,1678
"130",87,5967
"131",88,165
"132",88,2901
"133",88,4227
"134",88,8138
"135",88,7958
"136",88,5913
"137",88,688
"138",88,1365
"139",88,3388
"140",88,6151
"141",88,4851
"142",88,2822
"143",88,4418
"144",88,5009
"145",88,6366
"146",88,5073
"147",89,165
"148",89,2901
"149",89,4227
"150",89,8138
"151",89,7958
"152",89,5913
"153",89,688
"154",89,1365
"155",89,5767
"156",89,3388
"157",89,6151
"158",89,4851
"159",89,2822
"160",89,4418
"161",89,5009
"162",89,6597
"163",89,6366
"164",89,7722
"165",89,5073
"166",90,165
"167",90,2901
"168",90,4227
"169",90,8138
"170",90,8764
"171",90,5913
"172",90,688
"173",90,5767
"174",90,3388
"175",90,6151
"176",90,4851
"177",90,2822
"178",90,4418
"179",90,6597
"180",90,7722
"181",90,5073
"182",91,165
"183",91,2901
"184",91,8138
"185",91,8883
"186",91,8764
"187",91,5913
"188",91,10824
"189",91,5767
"190",91,3388
"191",91,6151
"192",91,4851
"193",91,2822
"194",91,10414
"195",91,6249
"196",91,7722
"197",91,5073
"198",92,165
"199",92,9174
"200",92,2901
"201",92,6151
"202",92,8883
"203",92,8764
"204",92,5913
"205",92,12104
"206",92,5767
"207",92,3388
"208",92,6151
"209",92,2987
"210",92,4851
"211",92,2822
"212",92,10147
"213",92,6249
"214",92,7722
"215",92,5073
"216",92,4154
"217",93,6754
"218",93,9174
"219",93,6151
"220",93,8883
"221",93,8764
"222",93,6831
"223",93,5913
"224",93,12104
"225",93,5767
"226",93,3388
"227",93,2987
"228",93,4851
"229",93,2822
"230",93,10147
"231",93,6249
"232",93,7722
"233",93,1482
"234",93,4154
"235",94,6754
"236",94,9174
"237",94,6151
"238",94,8883
"239",94,7638
"240",94,6831
"241",94,5913
"242",94,12104
"243",94,5767
"244",94,8764
"245",94,7847
"246",94,4851
"247",94,2822
"248",94,10147
"249",94,6249
"250",94,7722
"251",94,1482
"252",94,4154
"253",95,14302
"254",95,9174
"255",95,9174
"256",95,6151
"257",95,5913
"258",95,8883
"259",95,7638
"260",95,6831
"261",95,5913
"262",95,5913
"263",95,1482
"264",95,12104
"265",95,4851
"266",95,7722
"267",95,5767
"268",95,8764
"269",95,7847
"270",95,7847
"271",95,10147
"272",95,4851
"273",95,2822
"274",95,10147
"275",95,1252
"276",95,7722
"277",95,1482
"278",95,10818
"279",95,12103
"280",96,9174
"281",96,5913
"282",96,8883
"283",96,7638
"284",96,6831
"285",96,11204
"286",96,1482
"287",96,4851
"288",96,7722
"289",96,5767
"290",96,1721
"291",96,7847
"292",96,10808
"293",96,10147
"294",96,10818
"295",96,12103
"296",97,14105
"297",97,11203
"298",97,10823
"299",97,14303
"300",97,14103
"301",97,12107
"302",97,11029
"303",97,10562
"304",97,10513
"305",97,11205
"306",97,11044
"307",97,9369
"308",97,14503
"309",97,10535
"310",97,12032
"311",97,14710
"312",98,14105
"313",98,11203
"314",98,10823
"315",98,14303
"316",98,14103
"317",98,12107
"318",98,11029
"319",98,10562
"320",98,10513
"321",98,11205
"322",98,11044
"323",98,9369
"324",98,14503
"325",98,10535
"326",98,12032
"327",98,14710
"328",99,14105
"329",99,11203
"330",99,3658
"331",99,14303
"332",99,14103
"333",99,14501
"334",99,11029
"335",99,10562
"336",99,12107
"337",99,14506
"338",99,11044
"339",99,9369
"340",99,14503
"341",99,10535
"342",99,12032
"343",99,14908
"344",100,14307
"345",100,8883
"346",100,14108
"347",100,7638
"348",100,13101
"349",100,11204
"350",100,14107
"351",100,1252
"352",100,660
"353",100,10818
"354",100,14304
"355",100,14101
"356",100,10808
"357",100,14302
"358",100,14300
"359",100,12103
"360",101,14307
"361",101,1366
"362",101,14108
"363",101,11043
"364",101,14509
"365",101,11204
"366",101,14107
"367",101,1252
"368",101,660
"369",101,10818
"370",101,14304
"371",101,14101
"372",101,10808
"373",101,14302
"374",101,14300
"375",101,12103
"376",102,14307
"377",102,1366
"378",102,14108
"379",102,11043
"380",102,14509
"381",102,11204
"382",102,14107
"383",102,1252
"384",102,14508
"385",102,660
"386",102,10818
"387",102,14304
"388",102,14101
"389",102,10808
"390",102,14302
"391",102,14300
"392",102,12103
"393",103,14307
"394",103,1366
"395",103,14108
"396",103,11043
"397",103,14509
"398",103,11204
"399",103,14107
"400",103,14508
"401",103,14203
"402",103,660
"403",103,14508
"404",103,10818
"405",103,14304
"406",103,14101
"407",103,10808
"408",103,14302
"409",103,14300
"410",103,14922
"411",103,10791
"412",103,15700
"413",103,4812
"414",103,10808
"415",104,14506
"416",104,11203
"417",104,9369
"418",104,14900
"419",104,14103
"420",104,14268
"421",104,14907
"422",104,14500
"423",104,12107
"424",104,11044
"425",104,14105
"426",104,11044
"427",104,12109
"428",104,14503
"429",104,14708
"430",104,12109
"431",104,15501
"432",104,14710
"433",104,14010
"434",104,14910
"435",104,14921
"436",104,15039
"437",104,11203
"438",105,14506
"439",105,12109
"440",105,9369
"441",105,14900
"442",105,14103
"443",105,15039
"444",105,14907
"445",105,14500
"446",105,11044
"447",105,14105
"448",105,49503
"449",105,14503
"450",105,14240
"451",105,14712
"452",105,15501
"453",105,14910
"454",105,14226
"455",105,94659
"456",105,15116
"457",105,15407
"458",106,14506
"459",106,12109
"460",106,14712
"461",106,14628
"462",106,14103
"463",106,15039
"464",106,14907
"465",106,14500
"466",106,15116
"467",106,11044
"468",106,14105
"469",106,49503
"470",106,14503
"471",106,14240
"472",106,14921
"473",106,15501
"474",106,14226
"475",106,94659
"476",106,15116
"477",106,14852
"478",106,15407
"479",107,14230
"480",107,1366
"481",107,14709
"482",107,13039
"483",107,15502
"484",107,11204
"485",107,14912
"486",107,15054
"487",107,14240
"488",107,14203
"489",107,14101
"490",107,15704
"491",107,14307
"492",107,10808
"493",107,14213
"494",107,14920
"495",107,14922
"496",107,15503
"497",107,15054
"498",107,4812
"499",108,14009
"500",108,12109
"501",108,14712
"502",108,94659
"503",108,14908
"504",108,15039
"505",108,14103
"506",108,15424
"507",108,14226
"508",108,14506
"509",108,49703
"510",108,14503
"511",108,14826
"512",108,14031
"513",108,14661
"514",108,14910
"515",108,14809
"516",108,14852
"517",108,49903
"518",108,15407
"519",108,49307
"520",109,29512
"521",109,14009
"522",109,14712
"523",109,94659
"524",109,14826
"525",109,12109
"526",109,14103
"527",109,15424
"528",109,14226
"529",109,14506
"530",109,49703
"531",109,14910
"532",109,49706
"533",109,14031
"534",109,14661
"535",109,14809
"536",109,49705
"537",109,14852
"538",109,49903
"539",109,15039
"540",110,14230
"541",110,1366
"542",110,14709
"543",110,14213
"544",110,15502
"545",110,4812
"546",110,14912
"547",110,15011
"548",110,14203
"549",110,14101
"550",110,15704
"551",110,14307
"552",110,10808
"553",110,14213
"554",110,14920
"555",110,14400
"556",110,15703
"557",110,14922
"558",110,15425
"559",110,15011
"560",110,14812
"561",110,14858
"562",111,14230
"563",111,29305
"564",111,4812
"565",111,14709
"566",111,14213
"567",111,15502
"568",111,14922
"569",111,14912
"570",111,15011
"571",111,14203
"572",111,14920
"573",111,15704
"574",111,14307
"575",111,10808
"576",111,14230
"577",111,14858
"578",111,49702
"579",111,14400
"580",111,15703
"581",111,49300
"582",111,15011
"583",111,14812
"584",111,14858
"585",111,14203
"586",112,29732
"587",112,4812
"588",112,14709
"589",112,15425
"590",112,15502
"591",112,14922
"592",112,14912
"593",112,15011
"594",112,14203
"595",112,14920
"596",112,15704
"597",112,14307
"598",112,14230
"599",112,14858
"600",112,49702
"601",112,49308
"602",112,15703
"603",112,49300
"604",112,15011
"605",112,14400
"606",112,14858
"607",112,40703
