mc,icpsrLegis,congress,variable,new_value,reason
DRYDON (R NJ),2736,NA,mc,DRYDEN (R NJ),misspelling in mc
MILLIKEN (R CO),6525,NA,mc,MILLIKIN (R CO),misspelling in mc
WILLS (R IN),10205,NA,mc,WILLIS (R IN),misspelling in mc
DAMATO (R NY),14900,NA,mc,D'AMATO (R NY),misspelling in mc
VAN (D IN),9626,NA,mc,VAN NUYS (D IN),misspelling in mc
VANNUYS (D IN),9626,NA,mc,VAN NUYS (D IN),misspelling in mc
ROBBINSON (R IN),7972,NA,mc,ROBINSON (R IN),misspelling in mc
AUARLES (R WI),7665,NA,mc,QUARLES (R WI),misspelling in mc
TALIAFERO (D FL),9166,NA,mc,TALIAFERRO (D FL),misspelling in mc
VANWYCK (R NE),9643,NA,mc,VAN WYCK (R NE),misspelling in mc
VAN (R NE),9643,NA,mc,VAN WYCK (R NE),misspelling in mc
TILLMANN (D SC),9386,NA,mc,TILLMAN (D SC),misspelling in mc
HICKENLOOPE (R IA),4382,NA,mc,HICKENLOOPER (R IA),misspelling in mc
STEWART (NA NV),8948,NA,mc,STEWART (Silver Republican NV),mislabelled mc
JONES (NA NV),5046,NA,mc,JONES (Silver Republican NV),mislabelled mc
POINDEXTER (Progressive  WA),7502,NA,mc,POINDEXTER (Progressive WA),mislabelled mc
LAFOLLETTE (Progressive  WI),5402,NA,mc,LAFOLLETTE (Progressive WI),mislabelled mc
VAN (Unconditional Unionist WV),9642,NA,mc,VAN WINKLE (Unconditional Unionist WV),misspelling in mc
VANWINKLE (R WV),9642,NA,mc,VAN WINKLE (R WV),misspelling in mc
STEWART (Silver Republican NV),8948,NA,party,Silver Republican,mislabelled party
JONES (Silver Republican NV),5046,NA,party,Silver Republican,mislabelled party
LIEBERMAN (D CT),15704,110,party,Independent Democrat,mislabelled party
LIEBERMAN (D CT),15704,110,mc,LIEBERMAN (Independent Democrat CT),mislabelled mc

FRELINGHUYS (R NJ),3362,NA,mc,FRELINGHUYS (R NJ) 3362,shared last name and party
FRELINGHUYS (R NJ),3363,NA,mc,FRELINGHUYS (R NJ) 3363,shared last name and party
SAULSBURY (D DE),8222,NA,mc,SAULSBURY (D DE) 8222,shared last name and party
SAULSBURY (D DE),8223,NA,mc,SAULSBURY (D DE) 8223,shared last name and party
SAULSBURY (D DE),8224,NA,mc,SAULSBURY (D DE) 8224,shared last name and party
BAYARD (D DE),528,NA,mc,BAYARD (D DE) 528,shared last name and party
BAYARD (D DE),525,NA,mc,BAYARD (D DE) 525,shared last name and party
BAYARD (D DE),528,NA,mc,BAYARD (D DE) 528,shared last name and party
BAYARD (D DE),529,NA,mc,BAYARD (D DE) 529,shared last name and party
CAMERON (R PA),1437,NA,mc,CAMERON (R PA) 1437,shared last name and party
CAMERON (R PA),1435,NA,mc,CAMERON (R PA) 1435,shared last name and party
MILLER (D GA),6484,NA,mc,MILLER (D GA) 6484,shared last name and party
MILLER (D GA),49904,NA,mc,MILLER (D GA) 49904,shared last name and party
SCOTT (R PA),8304,NA,mc,SCOTT (R PA) 8304,shared last name and party
SCOTT (R PA),8301,NA,mc,SCOTT (R PA) 8301,shared last name and party
HALE (R ME),3917,NA,mc,HALE (R ME) 3917,shared last name and party
HALE (R ME),3919,NA,mc,HALE (R ME) 3919,shared last name and party
