,icpsr_state,party_code,cand_number,source,year,office,district,asterisk,blank,vote,month,type,name,party,statename,stabb,election_rank,party2
2,13,112,3,Y,1968,6,0, ,NA,1139402,11,G,"BUCKLEY, JAMES L                              ",CONSERVATIVE,New York,NY,1,MODERN REPUBLICAN
3,13,112,3,Y,1970,4,0, ,NA,2179640,11,G,"BUCKLEY, JAMES L                              ",CONSERVATIVE,New York,NY,1,MODERN REPUBLICAN
16,33,646,3,Y,1970,4,0, ,NA,6122,11,G,"STREBE, NANCY                                 ",SOCIALIST WORKERS,Minnesota,MN,1,
17,33,718,4,Y,1970,4,0, ,NA,2484,11,G,"BRAATZ, WILLIAM                               ",INDUSTRIAL GOVERNMENT,Minnesota,MN,2,
25,40,328,1,Y,1970,4,0, ,NA,506623,11,G,"BYRD, HARRY F JR                              ",INDEPENDENT,Virginia,VA,2,
33,46,328,2,Y,1970,4,0, ,NA,37593,11,G,"THOMPSON, WILLIAM R                           ",INDEPENDENT,Mississippi,MS,2,
8,32,112,3,Y,1972,5,0, ,NA,35510,11,G,"MILLER, GENE F                                ",CONSERVATIVE,Kansas,KS,1,
18,33,718,3,Y,1972,5,0, ,NA,8192,11,G,"HECK, KARL H                                  ",INDUSTRIAL GOVERNMENT,Minnesota,MN,1,
19,33,809,1,Y,1972,5,0, ,NA,981320,11,G,"MONDALE, WALTER F                             ","DEMOCRAT, FARMER-LABOR",Minnesota,MN,2,
31,45,310,1,Y,1972,5,0, ,NA,28910,11,G,"LYONS, HALL M                                 ",AMERICAN,Louisiana,LA,2,
4,13,112,3,Y,1974,6,0, ,NA,822584,11,G,"KEATING, BARBARA A                            ",CONSERVATIVE,New York,NY,1,
28,41,1732,1,Y,1974,6,0, ,NA,21749,11,G,"ABERCROMBIE, ALVIN                            ",ALABAMA PROHIBITION,Alabama,AL,2,
11,33,331,1,Y,1976,4,0, ,NA,478602,11,G,"BREKKE, JERRY                                 ",INDEPENDENT REPUBLICAN,Minnesota,MN,2,
15,33,541,5,Y,1976,4,0, ,NA,2214,11,G,"SAVOLA, MATT                                  ",WORKERS (COMMUNIST) PARTY OF AMERICA,Minnesota,MN,1,
26,40,328,2,Y,1976,4,0, ,NA,890778,11,G,"BYRD, HARRY F. JR.                            ",INDEPENDENT,Virginia,VA,1,
9,32,112,3,Y,1978,5,0, ,NA,22497,11,G,"MAHER, JAMES R.                               ",CONSERVATIVE,Kansas,KS,1,
12,33,331,1,Y,1978,5,0, ,NA,894092,11,G,"BOSCHWITZ, RUDY                               ",INDEPENDENT REPUBLICAN,Minnesota,MN,1,
20,33,809,7,Y,1978,5,0, ,NA,638375,11,G,"ANDERSON, WENDELL                             ","DEMOCRAT, FARMER-LABOR",Minnesota,MN,2,
29,41,1732,2,Y,1978,5,0, ,NA,34951,11,G,"COUCH, JAMES B.                               ",ALABAMA PROHIBITION,Alabama,AL,2,
6,13,402,5,Y,1980,4,0, ,NA,664544,11,G,"JAVITS, JACOB K.                              ",LIBERAL,New York,NY,2,
1,1,112,4,Y,1982,4,0, ,NA,30212,11,G,"DIFAZIO,  LUCIEN P. JR.                       ",CONSERVATIVE,Connecticut,CT,1,
13,33,331,1,Y,1982,4,0, ,NA,949207,11,G,"DURENBER, DAVE                                ",INDEPENDENT REPUBLICAN,Minnesota,MN,1,
21,33,809,2,Y,1982,4,0, ,NA,840401,11,G,"DAYTON, MARK                                  ","DEMOCRAT, FARMER-LABOR",Minnesota,MN,2,
10,32,112,4,Y,1984,5,0, ,NA,9380,11,G,"BIEGER, LUCILLE                               ",CONSERVATIVE,Kansas,KS,1,
32,45,2477,3,Y,1984,5,0, ,NA,86546,10,G,"ROSS, ROBERT M.                               ",REPUBLICAN (OTHER)--LOUISIANA,Louisiana,LA,2,
35,66,10,2,Y,1984,5,0, ,NA,141253,11,G,"PRATT, JUDITH A.                              ",ANTI-FEDERALIST,New Mexico,NM,2,
36,66,9001,3,Y,1984,5,0, ,NA,10,11,G,"COLE, ORLIN G.                                ",UNIDENTIFIED,New Mexico,NM,1,
5,13,112,3,Y,1986,6,999, ,NA,212101,11,G,"D'AMATO, ALFONSE M.                           ",CONSERVATIVE,New York,NY,1,
7,13,402,4,Y,1986,6,999, ,NA,60099,11,G,"DYSON, JOHN                                   ",LIBERAL,New York,NY,2,
14,33,331,1,Y,1988,6,999, ,NA,1176210,11,G,"DUREBURGER, DAVE                              ",INDEPENDENT REPUBLICAN,Minnesota,MN,1,
24,33,2889,6,Y,1988,6,999, ,NA,44474,11,G,"MANN, POLLY                                   ",PROGRESSIVE ISSUES,Minnesota,MN,2,
22,33,2440,3,Y,1990,6,0, ,NA,29820,11,G,"BENTLEY, RUSSELL B.                           ",GRASS ROOTS,Minnesota,MN,1,
23,33,2696,1,Y,1990,6,0, ,NA,911999,11,G,"WELLSTONE, PAUL DAVID                         ",DEMOCRAT-FARMER-LABOR,Minnesota,MN,2,
27,40,328,2,Y,1990,6,0, ,NA,196755,11,G,"SPANNAUS, NANCY B.                            ",INDEPENDENT,Virginia,VA,2,
30,42,9001,2,Y,1990,6,0, ,NA,825,11,G,"WHITE, BETTY                                  ",UNIDENTIFIED,Arkansas,AR,2,
34,55,646,2,Y,1990,6,0, ,NA,2855,11,G,"MANUEL, SAM                                   ",SOCIALIST WORKERS,"Washington, DC",DC,2,
