,name,icpsrLegis,freshmanYear
1,NIXON (R USA),99904,
2,FORD (R USA),99905,
3,SPARKMAN (D AL),8764,1946
4,ALLEN (D AL),12100,1969
5,GRAVEL (D AK),12105,1969
6,STEVENS (R AK),12109,1968
7,GOLDWATER (R AZ),3658,1953
8,FANNIN (R AZ),10804,1965
9,MCCLELLAN (D AR),6151,1943
10,FULBRIGHT (D AR),3388,1945
11,TUNNEY (D CA),10777,1971
12,CRANSTON (D CA),12103,1969
13,HASKELL (D CO),14104,1973
14,DOMINICK (R CO),10514,1963
15,WEICKER (R CT),12032,1971
16,RIBICOFF (D CT),7847,1963
17,BIDEN (D DE),14101,1973
18,ROTH (R DE),11044,1971
19,GURNEY (R FL),10593,1969
20,CHILES (D FL),13101,1971
21,TALMADGE (D GA),9174,1957
22,NUNN (D GA),14108,1973
23,FONG (R HI),3255,1959
24,INOUYE (D HI),4812,1963
25,MCCLURE (R ID),11029,1973
26,CHURCH (D ID),1721,1957
27,STEVENSON (D IL),13102,1970
28,PERCY (R IL),11205,1967
29,BAYH (D IN),10800,1963
30,HARTKE (D IN),4154,1959
31,HUGHES (D IA),12106,1969
32,CLARK (D IA),14102,1973
33,PEARSON (R KS),10817,1962
34,DOLE (R KS),10513,1969
35,HUDDLESTON (D KY),14106,1973
36,COOK (R KY),12102,1968
37,LONG (D LA),5767,1948
38,JOHNSTON (D LA),14107,1972
39,MUSKIE (D ME),6831,1959
40,HATHAWAY (D ME),10736,1973
41,BEALL (R MD),12002,1971
42,MATHIAS (R MD),10535,1969
43,KENNEDY (D MA),10808,1962
44,BROOKE (R MA),11201,1967
45,GRIFFIN (R MI),3824,1966
46,HART (D MI),4148,1959
47,MONDALE (D MN),10813,1964
48,HUMPHREY (D MN),4728,1949
49,STENNIS (D MS),8883,1947
50,EASTLAND (D MS),2822,1941
51,EAGLETON (D MO),12104,1969
52,SYMINGTON (D MO),9141,1953
53,METCALF (D MT),6442,1961
54,MANSFIELD (D MT),5967,1953
55,HRUSKA (R NE),4660,1954
56,CURTIS (R NE),2267,1955
57,CANNON (D NV),1482,1959
58,BIBLE (D NV),688,1954
59,LAXALT (R NV),14077,1975
60,COTTON (R NH),2087,1954
61,MCINTYRE (D NH),10810,1962
62,CASE (R NJ),1569,1955
63,WILLIAMS (D NJ),10147,1959
64,DOMENICI (R NM),14103,1973
65,MONTOYA (D NM),6611,1964
66,JAVITS (R NY),4898,1957
67,BUCKLEY (Conservative NY),13100,1971
68,ERVIN (D NC),2987,1954
69,HELMS (R NC),14105,1973
70,BURDICK (D ND),1252,1961
71,YOUNG (R ND),10450,1945
72,TAFT (R OH),10630,1971
73,SAXBE (R OH),12108,1969
74,METZENBAUM (D OH),14073,1974
75,BARTLETT (R OK),14100,1959
76,BELLMON (R OK),12101,1969
77,PACKWOOD (R OR),12107,1969
78,HATFIELD (R OR),11203,1967
79,SCOTT (R PA),8301,1959
80,SCHWEIKER (R PA),10557,1969
81,PELL (D RI),10818,1961
82,PASTORE (D RI),7229,1950
83,THURMOND (R SC),9369,1954
84,HOLLINGS (D SC),11204,1966
85,ABOUREZK (D SD),13000,1973
86,MCGOVERN (D SD),6256,1963
87,BAKER (R TN),11200,1967
88,BROCK (R TN),10571,1971
89,TOWER (R TX),10823,1961
90,BENTSEN (D TX),660,1971
91,MOSS (D UT),6754,1959
92,BENNETT (R UT),645,1951
93,STAFFORD (R VT),10562,1971
94,AIKEN (R VT),52,1941
95,SCOTT (R VA),11048,1973
96,BYRD (Indep VA),10802,1965
97,MAGNUSON (D WA),5913,1944
98,JACKSON (D WA),4851,1953
99,BYRD (D WV),1366,1959
100,RANDOLPH (D WV),7722,1958
101,PROXMIRE (D WI),7638,1957
102,NELSON (D WI),10816,1963
103,MCGEE (D WY),6249,1959
104,HANSEN (R WY),11202,1967
113,BUMPERS (D AR),14300,1975
117,HART (D CO),14305,1975
122,STONE (D FL),14309,1975
135,CULVER (D IA),10715,1975
139,FORD (D KY),14302,1974
164,DURKIN (D NH),14310,1975
171,MORGAN (D NC),14308,1975
175,GLENN (D OH),14304,1974
194,GARN (R UT),14303,1974
196,LEAHY (D VT),14307,1975
207,CARTER (D USA),99906,
210,ALLEN (D AL) 14517,14517,1978
213,DECONCINI (D AZ),14502,1977
217,HODGES (D AR),14514,1977
219,HAYAKAWA (R CA),14504,1977
230,MATSUNAGA (D HI),10605,1977
236,LUGAR (R IN),14506,1977
248,SARBANES (D MD),13039,1977
253,RIEGLE (D MI),11043,1977
255,HUMPHREY (D MN) 14516,14516,1978
256,ANDERSON (D MN),14513,1976
259,DANFORTH (R MO),14501,1977
261,MELCHER (D MT),12039,1977
263,HATFIELD (D MT),14515,1978
264,ZORINSKY (D NE),14512,1976
272,SCHMITT (R NM),14510,1977
275,MOYNIHAN (D NY),14508,1977
286,HEINZ (R PA),13050,1977
288,CHAFEE (R RI),14500,1976
294,SASSER (D TN),14509,1977
299,HATCH (R UT),14503,1977
310,WALLOP (R WY),14511,1977
313,HEFLIN (D AL),14705,1979
314,STEWART (D AL),14711,1978
319,PRYOR (D AR),10791,1979
324,ARMSTRONG (R CO),14002,1979
341,JEPSEN (R IA),14707,1979
344,KASSEBAUM (R KS),14708,1979
349,COHEN (R ME),14010,1979
351,MITCHELL (D ME),14713,1980
354,TSONGAS (D MA),14279,1979
356,LEVIN (D MI),14709,1979
358,DURENBERGER (R MN),14703,1978
359,BOSCHWITZ (R MN),14701,1979
360,COCHRAN (R MS),14009,1978
365,BAUCUS (D MT),14203,1978
366,EXON (D NE),14704,1979
371,HUMPHREY (R NH),14706,1979
373,BRADLEY (D NJ),14702,1979
385,BOREN (D OK),14700,1979
395,PRESSLER (R SD),14268,1979
404,WARNER (R VA),14712,1979
413,SIMPSON (R WY),14710,1979
414,REAGAN (R USA),99907,
416,DENTON (R AL),14901,1981
418,MURKOWSKI (R AK),14907,1981
427,DODD (D CT),14213,1981
432,HAWKINS (R FL),14905,1981
434,MATTINGLY (R GA),14906,1981
438,SYMMS (R ID),14056,1981
440,DIXON (D IL),14902,1981
441,QUAYLE (R IN),14447,1981
