icpsrLegis,name,freshmanYear,sen
4812,INOUYE (D HI),1963,1
14307,LEAHY (D VT),1975,2
14503,HATCH (R UT),1977,4
14506,LUGAR (R IN),1977,3
14009,COCHRAN (R MS),1978,6
14203,BAUCUS (D MT),1978,5
14709,LEVIN (D MI),1979,7
14226,GRASSLEY (R IA),1981,8
14914,LAUTENBERG (D NJ),1982,48
14912,BINGAMAN (D NM),1983,9
14230,HARKIN (D IA),1985,11
14920,KERRY (D MA),1985,10
14921,MCCONNELL (R KY),1985,12
14922,ROCKEFELLER (D WV),1985,13
14440,MIKULSKI (D MD),1987,14
15039,MCCAIN (R AZ),1987,16
15054,REID (D NV),1987,17
15502,CONRAD (D ND),1987,18
94659,SHELBY (R AL),1987,15
14806,COATS (R IN),1989,88
15703,KOHL (D WI),1989,19
15704,LIEBERMAN (D CT),1989,20
14400,AKAKA (D HI),1990,21
49300,FEINSTEIN (D CA),1992,22
15011,BOXER (D CA),1993,23
49306,HUTCHISON (R TX),1993,25
49308,MURRAY (D WA),1993,24
15424,INHOFE (R OK),1994,26
14661,SNOWE (R ME),1995,27
15429,KYL (R AZ),1995,28
14871,WYDEN (D OR),1996,29
14852,ROBERTS (R KS),1997,30
15021,DURBIN (D IL),1997,31
15425,JOHNSON (D SD),1997,32
29142,REED (D RI),1997,33
49700,SESSIONS (R AL),1997,35
49702,LANDRIEU (D LA),1997,34
49703,COLLINS (R ME),1997,36
49706,ENZI (R WY),1997,37
14858,SCHUMER (D NY),1999,38
29345,CRAPO (R ID),1999,39
14651,NELSON (D FL),2001,40
15015,CARPER (D DE),2001,41
29537,ENSIGN (R NV),2001,43
29732,STABENOW (D MI),2001,42
39310,CANTWELL (D WA),2001,44
40103,NELSON (D NE),2001,45
40300,MURKOWSKI (R AK),2002,47
40305,CORNYN (R TX),2002,46
29512,CHAMBLISS (R GA),2003,49
29566,GRAHAM (R SC),2003,50
40301,PRYOR (D AR),2003,52
40304,ALEXANDER (R TN),2003,51
29548,BURR (R NC),2005,53
29555,COBURN (R OK),2005,55
29754,THUNE (R SD),2005,56
29909,ISAKSON (R GA),2005,57
29918,VITTER (R LA),2005,58
29936,DEMINT (R SC),2005,54
29373,MENENDEZ (D NJ),2006,59
15408,CARDIN (D MD),2007,60
29147,SANDERS (Indep VT),2007,61
29389,BROWN (D OH),2007,62
29534,WICKER (R MS),2007,71
40700,KLOBUCHAR (D MN),2007,67
40701,MCCASKILL (D MO),2007,66
40702,TESTER (D MT),2007,69
40703,CASEY (D PA),2007,63
40704,WHITEHOUSE (D RI),2007,68
40705,CORKER (R TN),2007,65
40706,WEBB (D VA),2007,64
40707,BARASSO (R WY),2007,70
20735,GILLIBRAND (D NY),2009,82
29906,UDALL (D CO),2009,72
29924,UDALL (D NM),2009,73
40900,BEGICH (D AK),2009,80
40902,RISCH (R ID),2009,77
40904,FRANKEN (D MN),2009,83
40905,JOHANNS (R NE),2009,74
40906,SHAHEEN (D NH),2009,75
40907,HAGAN (D NC),2009,78
40908,MERKLEY (D OR),2009,79
40909,WARNER (D VA),2009,76
40910,BENNET (D CO),2009,81
20115,KIRK (R IL),2010,87
40913,BROWN (R MA),2010,84
40915,MANCHIN (D WV),2010,85
40916,COONS (D DE),2010,86
20101,BOOZMAN (R AR),2011,92
20730,HELLER (R NV),2011,
29386,PORTMAN (R OH),2011,91
29722,MORAN (R KS),2011,90
29735,BLUNT (R MO),2011,89
29935,TOOMEY (R PA),2011,93
41101,BLUMENTHAL (D CT),2011,98
41102,RUBIO (R FL),2011,95
41104,PAUL (R KY),2011,97
41106,AYOTTE (R NH),2011,100
41107,HOEVEN (R ND),2011,94
41110,LEE (R UT),2011,99
41111,JOHNSON (R WI),2011,96
41112,SCHATZ (D HI),2012,
99911,OBAMA (D USA),,
